exon3	Primates	Carnivore	Rodents	Afrotheria	Alligator	Artiyodactyla	Birds	Caniformia	Chiroptera	Reptiles	Perissodactyla	Turtle	Monotremata
exon3	53.24675325	57.5	48.05194805	54.54545455	39.43661972	55.84415584	45.45454545	51.94805195	45.45454545	40.25974026	48.05194805	40.25974026	57.14285714
exon3	55.84415584	55.625	57.14285714	54.54545455	38.02816901	49.35064935	40.25974026	49.35064935	53.24675325	42.85714286	49.35064935	41.55844156	
exon3	55.84415584	56.25	55.84415584	54.54545455	42.25352113	51.94805195	44.15584416	50.64935065	50	32.46753247	50.64935065	38.96103896	
exon3	53.24675325	55.21472393	58.44155844	51.94805195	42.25352113	51.94805195	37.66233766	59.74025974	46.75324675	32.46753247	50.64935065	41.55844156	
exon3	51.94805195	55.82822086	58.44155844	57.14285714	NA	51.94805195	45.45454545	49.35064935	49.35064935	41.55844156	NA	40.25974026	
exon3	54.54545455	55.82822086	59.74025974	NA		51.94805195	42.85714286	49.35064935	51.28205128	33.76623377	NA	37.66233766	
exon3	54.54545455	55.82822086	51.94805195	NA		54.54545455	48.05194805	59.74025974	52.56410256	35.06493506	NA		
exon3	54.54545455	51.94805195	51.31578947	NA		54.54545455	44.15584416	50.64935065	52.56410256	35.06493506	NA		
exon3	54.54545455	49.35064935	58.44155844	NA		54.54545455	41.55844156	58.44155844	46.75324675	41.55844156	NA		
exon3	57.14285714	50.64935065	58.44155844	NA		50.64935065	41.55844156	50.64935065	50	NA		NA	
exon3	51.94805195	59.74025974	59.74025974	NA		49.35064935	45.45454545	58.44155844	48.05194805	NA		NA	
exon3	53.24675325	49.35064935	57.14285714	NA		49.35064935	49.35064935	49.35064935	49.35064935	NA		NA	
exon3	53.24675325	49.35064935	57.14285714	NA		50.64935065	42.85714286	50.64935065	50.64935065	NA		NA	
exon3	55.84415584	59.74025974	45.45454545	NA		49.35064935	41.55844156	50.64935065	NA		NA		
exon3	55.84415584	50.64935065	45.45454545	NA		49.35064935	48.05194805	55.84415584	NA		NA		
exon3	51.94805195	58.44155844	51.94805195	NA		49.35064935	45.45454545	55.84415584	NA		NA		
exon3	55.84415584	49.35064935	55.84415584	NA		51.94805195	45.45454545	55.84415584	NA		NA		
exon3	54.54545455	58.44155844	52.43902439	NA		49.35064935	35.06493506	55.84415584	NA		NA		
exon3	55.84415584	49.35064935	48.05194805	NA		50.64935065	40.25974026	50.64935065	NA		NA		
exon3	54.54545455	50.64935065	45.45454545	NA		49.35064935	46.75324675	49.35064935	NA		NA		
exon3	50.64935065	50.64935065	42.85714286	NA		50.64935065	46.75324675	NA		NA		NA	
exon3	55.84415584	55.84415584	NA		NA	62.33766234	41.55844156	NA		NA		NA	
exon3	51.94805195	55.84415584	NA		NA	49.35064935	46.75324675	NA		NA		NA	
exon3	50.64935065	55.84415584	NA		NA	53.24675325	48.05194805	NA		NA		NA	
exon3	50.64935065	55.84415584	NA		NA		42.85714286	NA		NA		NA	
exon3	48.05194805	50.64935065	NA		NA		46.75324675	NA		NA		NA	
exon3	50.64935065	49.35064935	NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		40.25974026	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		48.05194805	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		48.05194805	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		40.25974026	NA		NA		NA	
exon3	NA		NA		NA		49.35064935	NA		NA		NA	
exon3	NA		NA		NA		51.94805195	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		48.05194805	NA		NA		NA	
exon3	NA		NA		NA		46.75324675	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		41.55844156	NA		NA		NA	
exon3	NA		NA		NA		41.55844156	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		50.64935065	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		44.15584416	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		48.05194805	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		49.35064935	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		45.45454545	NA		NA		NA	
exon3	NA		NA		NA		40.25974026	NA		NA		NA	
exon3	NA		NA		NA		35.06493506	NA		NA		NA	
exon3	NA		NA		NA		36.36363636	NA		NA		NA	
exon3	NA		NA		NA		35.06493506	NA		NA		NA	
exon3	NA		NA		NA		36.36363636	NA		NA		NA	
exon3	NA		NA		NA		41.55844156	NA		NA		NA	
exon3	NA		NA		NA		37.66233766	NA		NA		NA	
exon3	NA		NA		NA		33.76623377	NA		NA		NA	
exon3	NA		NA		NA		37.66233766	NA		NA		NA	
exon3	NA		NA		NA		42.85714286	NA		NA		NA	
exon3	NA		NA		NA		35.06493506	NA		NA		NA	
exon3	NA		NA		NA		36.36363636	NA		NA		NA	
