Sciurus_vulgaris	Octodon_degus	Ochotona_princeps	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
1.0517e-05	1.3173e-05	3.2182e-05	1.1072e-05	5.3809e-05	0.01	0.03186	
1.0017e-05	1.2442e-05	3.1194e-05	1.0801e-05	5.1965e-05	0.01	0.031871	
9.6505e-06	1.1871e-05	3.0471e-05	1.0598e-05	5.0359e-05	0.01	0.031882	
9.2493e-06	1.1259e-05	2.967e-05	1.0377e-05	4.8687e-05	0.01	0.031893	
8.7611e-06	1.0602e-05	2.9388e-05	1.0136e-05	4.6945e-05	0.01	0.031903	
8.1816e-06	1.0101e-05	2.9036e-05	9.5186e-06	4.5449e-05	0.01	0.031914	
7.768e-06	9.7228e-06	2.8833e-05	9.0499e-06	4.4167e-05	0.01	0.031926	
7.3096e-06	9.3107e-06	2.858e-05	8.5425e-06	4.2822e-05	0.01	0.031937	
6.9887e-06	8.0498e-06	2.8467e-05	7.054e-06	4.17e-05	0.01	0.031949	
6.5896e-06	7.086e-06	2.8285e-05	5.9399e-06	4.0751e-05	0.01	0.031961	
6.1474e-06	6.99e-06	2.8054e-05	4.7341e-06	3.9734e-05	0.01	0.031973	
5.6581e-06	6.878e-06	2.7772e-05	3.4303e-06	3.8663e-05	0.01	0.031985	
5.3134e-06	6.4428e-06	2.7633e-05	2.4536e-06	3.7765e-05	0.01	0.031998	
4.8428e-06	6.1172e-06	2.7403e-05	1.7334e-06	3.7012e-05	0.01	0.032011	
4.5189e-06	5.7142e-06	2.7313e-05	1.2905e-06	3.6048e-05	0.01	0.032023	
4.1356e-06	5.2183e-06	2.7165e-05	1.1616e-06	3.4873e-05	0.01	0.032036	
3.6793e-06	4.8467e-06	2.6953e-05	9.4942e-07	3.3882e-05	0.01	0.03205	
3.1723e-06	4.4414e-06	2.6689e-05	7.1767e-07	3.2838e-05	0.01	0.032063	
2.2552e-06	4.1371e-06	2.6209e-05	5.4645e-07	3.1954e-05	0.01	0.032077	
1.6026e-06	3.9107e-06	2.5907e-05	4.1865e-07	3.1212e-05	0.01	0.032091	
1.1384e-06	3.7456e-06	2.5747e-05	3.2342e-07	3.0595e-05	0.01	0.032105	
8.0821e-07	3.2189e-06	2.5714e-05	2.5244e-07	3.0092e-05	0.01	0.032119	
5.9749e-07	2.6465e-06	2.5823e-05	1.7117e-07	2.9554e-05	0.01	0.032134	
4.5417e-07	1.8674e-06	2.6076e-05	1.3308e-07	2.8767e-05	0.01	0.032149	
2.8793e-07	1.7128e-06	2.627e-05	1.2838e-07	2.7741e-05	0.01	0.032163	
2.4469e-07	1.524e-06	2.6353e-05	1.2074e-07	2.7821e-05	0.01	0.032178	
2.1516e-07	1.3828e-06	2.6567e-05	1.1661e-07	2.7972e-05	0.01	0.032193	
1.7132e-07	1.2783e-06	2.6693e-05	1.1582e-07	2.8198e-05	0.01	0.032208	
1.2117e-07	1.1623e-06	2.6775e-05	1.1326e-07	2.8398e-05	0.01	0.032223	
