Sciurus_vulgaris	Oryctolagus_cuniculus	Octodon_degus	Ochotona_princeps	Heterocephalus_glaber	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	
8.3753e-06	7.5923e-07	2.0366e-05	7.4666e-05	4.847e-06	8.0179e-05	7.1746e-05	0.01	0.032078	
8.0138e-06	5.6776e-07	1.9492e-05	7.2886e-05	4.4508e-06	7.5937e-05	6.9601e-05	0.01	0.032088	
7.7304e-06	4.6948e-07	1.8784e-05	7.1623e-05	4.1492e-06	7.2187e-05	6.7699e-05	0.01	0.032099	
7.4283e-06	3.5488e-07	1.8037e-05	7.0241e-05	3.8283e-06	6.8312e-05	6.5735e-05	0.01	0.03211	
7.0455e-06	3.0462e-07	1.7247e-05	6.9478e-05	3.4864e-06	6.4307e-05	6.3707e-05	0.01	0.03212	
6.6259e-06	2.4498e-07	1.6617e-05	6.8619e-05	3.0876e-06	5.9733e-05	6.1924e-05	0.01	0.032131	
6.3009e-06	2.1612e-07	1.6114e-05	6.8095e-05	2.7797e-06	5.5713e-05	6.0357e-05	0.01	0.032142	
5.952e-06	1.8087e-07	1.5579e-05	6.7484e-05	2.4494e-06	5.1544e-05	5.873e-05	0.01	0.032153	
5.6871e-06	1.6637e-07	1.3659e-05	6.7189e-05	2.0732e-06	4.6923e-05	5.7359e-05	0.01	0.032164	
5.3875e-06	1.4682e-07	1.211e-05	6.6801e-05	1.788e-06	4.2897e-05	5.6172e-05	0.01	0.032176	
5.0638e-06	1.2165e-07	1.1969e-05	6.6322e-05	1.4802e-06	3.871e-05	5.4919e-05	0.01	0.032188	
4.7138e-06	8.9762e-08	1.1809e-05	6.5747e-05	1.1477e-06	3.4353e-05	5.3611e-05	0.01	0.032199	
4.4514e-06	7.6862e-08	1.1119e-05	6.55e-05	8.9839e-07	3.0578e-05	5.2492e-05	0.01	0.032211	
4.13e-06	5.8822e-08	1.0582e-05	6.513e-05	7.1307e-07	2.7321e-05	5.1543e-05	0.01	0.032224	
3.8946e-06	5.3083e-08	9.9076e-06	6.5084e-05	5.7776e-07	2.4546e-05	5.0298e-05	0.01	0.032236	
3.6241e-06	4.3685e-08	9.0365e-06	6.4928e-05	4.8363e-07	2.2287e-05	4.8681e-05	0.01	0.032248	
3.3199e-06	3.0092e-08	8.3699e-06	6.4664e-05	3.7585e-07	1.9821e-05	4.7307e-05	0.01	0.032261	
2.9858e-06	1.1556e-08	7.6481e-06	6.4294e-05	3.6927e-07	1.7106e-05	4.5862e-05	0.01	0.032274	
2.2382e-06	6.0435e-09	7.0941e-06	6.3033e-05	3.7154e-07	1.4789e-05	4.4629e-05	0.01	0.032287	
1.6829e-06	4.0045e-09	6.6708e-06	6.2271e-05	3.8152e-07	1.2799e-05	4.3581e-05	0.01	0.032301	
1.2705e-06	3.6931e-09	6.3504e-06	6.1891e-05	4.0019e-07	1.1091e-05	4.2699e-05	0.01	0.032315	
9.643e-07	4.8473e-09	5.3654e-06	6.1832e-05	4.2934e-07	9.6244e-06	4.1965e-05	0.01	0.032328	
7.7994e-07	3.034e-09	4.3015e-06	6.2248e-05	4.5386e-07	8.076e-06	4.1185e-05	0.01	0.032342	
6.4631e-07	2.6624e-09	2.8542e-06	6.3061e-05	4.9147e-07	6.7672e-06	4.0062e-05	0.01	0.032356	
4.985e-07	9.755e-10	2.6333e-06	6.3739e-05	5.1657e-07	6.5608e-06	3.8813e-05	0.01	0.03237	
4.365e-07	7.1284e-10	2.3682e-06	6.3858e-05	5.3697e-07	6.3232e-06	3.895e-05	0.01	0.032384	
3.9145e-07	6.5638e-10	2.1659e-06	6.4309e-05	5.6935e-07	6.1381e-06	3.9176e-05	0.01	0.032399	
3.1432e-07	1.7494e-09	2.0131e-06	6.4365e-05	6.1678e-07	6.0013e-06	3.9495e-05	0.01	0.032414	
2.292e-07	1.6802e-09	1.845e-06	6.4327e-05	6.5839e-07	5.8389e-06	3.9781e-05	0.01	0.032428	
1.6577e-07	2.3404e-09	1.7187e-06	6.4606e-05	7.1805e-07	5.7221e-06	4.0164e-05	0.01	0.032443	
1.1923e-07	4.6397e-09	1.6259e-06	6.4088e-05	7.2417e-07	5.6505e-06	4.0653e-05	0.01	0.032459	
8.7162e-08	4.7891e-09	1.5605e-06	6.3042e-05	7.4169e-07	5.6202e-06	4.1259e-05	0.01	0.032474	
6.3672e-08	6.968e-09	1.5195e-06	6.2477e-05	7.7236e-07	5.6308e-06	4.1092e-05	0.01	0.032491	
6.2464e-08	7.4104e-09	1.4696e-06	6.1721e-05	7.9784e-07	5.6174e-06	4.0895e-05	0.01	0.032507	
6.3597e-08	1.0681e-08	1.4406e-06	6.1405e-05	7.7822e-07	5.6471e-06	4.0787e-05	0.01	0.032523	
6.2706e-08	1.2086e-08	1.403e-06	6.0983e-05	7.535e-07	5.6522e-06	4.0647e-05	0.01	0.03254	
5.9425e-08	1.1058e-08	1.3569e-06	6.1828e-05	8.1479e-07	5.6161e-06	4.0475e-05	0.01	0.032556	
5.9329e-08	1.3965e-08	1.3307e-06	6.1861e-05	8.5998e-07	5.5021e-06	4.0393e-05	0.01	0.032573	
5.7369e-08	1.4896e-08	1.2961e-06	6.1796e-05	8.989e-07	5.3627e-06	4.028e-05	0.01	0.032589	
5.762e-08	2.0606e-08	1.2799e-06	6.0784e-05	8.8805e-07	5.2681e-06	4.0253e-05	0.01	0.032606	
5.6022e-08	2.382e-08	1.2557e-06	5.9611e-05	8.7222e-07	5.1488e-06	4.0195e-05	0.01	0.032623	
5.7449e-08	2.3357e-08	1.1152e-06	5.7628e-05	7.9109e-07	5.0803e-06	4.0232e-05	0.01	0.03264	
5.7005e-08	2.1348e-08	9.6645e-07	5.5345e-05	7.0052e-07	4.9877e-06	4.0237e-05	0.01	0.032657	
6.2609e-08	2.4294e-08	8.0348e-07	5.3965e-05	6.0008e-07	4.8709e-06	4.0211e-05	0.01	0.032674	
7.1109e-08	3.4291e-08	6.7811e-07	5.3103e-05	5.2719e-07	4.7934e-06	4.0272e-05	0.01	0.032692	
7.7466e-08	4.0874e-08	5.4023e-07	5.2098e-05	4.4582e-07	4.692e-06	4.03e-05	0.01	0.032709	
8.7363e-08	5.9702e-08	4.3375e-07	5.1515e-05	3.868e-07	4.6285e-06	4.0414e-05	0.01	0.032727	
1.0192e-07	1.0696e-07	3.1618e-07	5.126e-05	3.2065e-07	4.5414e-06	4.0497e-05	0.01	0.032745	
1.0478e-07	2.3452e-07	1.8487e-07	5.1366e-05	2.4677e-07	4.4295e-06	4.0537e-05	0.01	0.032763	
1.0544e-07	3.3368e-07	1.7349e-07	5.1382e-05	2.4446e-07	4.2758e-06	4.0532e-05	0.01	0.032781	
1.0399e-07	4.11e-07	1.5774e-07	5.1313e-05	3.0496e-07	4.0828e-06	4.0496e-05	0.01	0.032798	
1.0599e-07	6.0955e-07	1.4736e-07	5.1554e-05	3.1959e-07	3.9364e-06	4.0547e-05	0.01	0.032817	
1.0582e-07	7.6436e-07	1.3271e-07	5.1702e-05	3.3066e-07	3.7661e-06	4.0567e-05	0.01	0.032835	
1.0347e-07	8.8445e-07	1.1368e-07	5.1761e-05	3.3827e-07	3.5716e-06	4.0556e-05	0.01	0.032853	
9.1427e-08	9.6666e-07	9.9622e-08	5.1605e-05	3.5377e-07	3.4158e-06	4.0632e-05	0.01	0.032871	
8.452e-08	1.0128e-06	8.9673e-08	5.1063e-05	3.7863e-07	3.295e-06	3.99e-05	0.01	0.03289	
5.8323e-08	1.0198e-06	8.3102e-08	5.0932e-05	4.1524e-07	3.2063e-06	3.9297e-05	0.01	0.032909	
2.7707e-08	1.0166e-06	1.0354e-07	5.0707e-05	4.7021e-07	3.1609e-06	3.8363e-05	0.01	0.032927	
2.3927e-08	1.0024e-06	1.1972e-07	5.0373e-05	5.1883e-07	3.0946e-06	3.7377e-05	0.01	0.032946	
