Equus_przewalskii	Equus_caballus	Equus_asinus	Ceratotherium_simum_simum	
0.01	0.01	0.00023343	7.7283e-05	
0.01	0.01	0.00022965	7.6337e-05	
0.01	0.01	0.00022592	7.55e-05	
0.01	0.01	0.00022217	7.4631e-05	
0.01	0.01	0.00021845	7.3863e-05	
0.01	0.01	0.00021473	7.3062e-05	
0.01	0.01	0.00021104	7.2356e-05	
0.01	0.01	0.00020739	7.1739e-05	
0.01	0.01	0.00020379	7.1204e-05	
0.01	0.01	0.00020017	7.0643e-05	
0.01	0.01	0.00019653	7.0054e-05	
0.01	0.01	0.00019287	6.9434e-05	
0.01	0.01	0.00018925	6.8899e-05	
0.01	0.01	0.00018562	6.8334e-05	
0.01	0.01	0.00018203	6.785e-05	
0.01	0.01	0.00017842	6.7339e-05	
0.01	0.01	0.00017479	6.6764e-05	
0.01	0.01	0.0001712	6.5361e-05	
0.01	0.01	0.0001676	6.3908e-05	
0.01	0.01	0.00016403	6.2612e-05	
0.01	0.01	0.00016051	6.1458e-05	
0.01	0.01	0.00015703	6.0432e-05	
0.01	0.01	0.00015353	5.9364e-05	
0.01	0.01	0.00015008	5.8416e-05	
0.01	0.01	0.0001466	5.7431e-05	
0.01	0.01	0.00014311	5.6408e-05	
0.01	0.01	0.00013965	5.5501e-05	
0.01	0.01	0.00013618	5.4555e-05	
0.01	0.01	0.00013269	5.3569e-05	
0.01	0.01	0.00012924	5.2696e-05	
0.01	0.01	0.00012583	5.1926e-05	
0.01	0.01	0.00012246	5.125e-05	
0.01	0.01	0.00011913	5.0661e-05	
0.01	0.01	0.00011583	5.0152e-05	
0.01	0.01	0.00011252	5.0018e-05	
0.01	0.01	0.00010919	4.9838e-05	
0.01	0.01	0.00010584	4.9638e-05	
0.01	0.01	0.00010253	4.9492e-05	
0.01	0.01	9.9197e-05	4.9327e-05	
0.01	0.01	9.585e-05	4.914e-05	
0.01	0.01	9.5606e-05	4.8897e-05	
0.01	0.01	9.5371e-05	4.871e-05	
0.01	0.01	9.5125e-05	4.8504e-05	
0.01	0.01	9.4867e-05	4.861e-05	
0.01	0.01	9.4616e-05	4.8768e-05	
0.01	0.01	9.4355e-05	4.8907e-05	
0.01	0.01	9.4082e-05	4.9028e-05	
0.01	0.01	9.3797e-05	4.913e-05	
0.01	0.01	9.3521e-05	4.9282e-05	
0.01	0.01	9.3233e-05	4.9417e-05	
0.01	0.01	9.2934e-05	4.9534e-05	
0.01	0.01	9.2643e-05	4.9277e-05	
0.01	0.01	9.2341e-05	4.9e-05	
0.01	0.01	9.2028e-05	4.8704e-05	
0.01	0.01	9.1704e-05	4.8389e-05	
0.01	0.01	9.1387e-05	4.8129e-05	
0.01	0.01	9.106e-05	4.785e-05	
0.01	0.01	9.0721e-05	4.7552e-05	
0.01	0.01	9.0389e-05	4.7307e-05	
0.01	0.01	9.0046e-05	4.7044e-05	
0.01	0.01	8.9693e-05	4.6762e-05	
