Tympanuchus_cupido	Syrmaticus_mikado	Phasianus_colchicus	Penelope_pileata	Pavo_cristatus	Oxyura_jamaicensis	Odontophorus_gujanensis	Numida_meleagris	Meleagris_gallopavo	Lyrurus_tetrix	Lagopus_muta	Gallus_gallus	Cygnus_atratus	Coturnix_japonica	Colinus_virginianus	Chrysolophus_pictus	Centrocercus_minimus	Callipepla_squamata	Aythya_fuligula	Anser_cygnoides	Anseranas_semipalmata	Anas_platyrhynchos	Alectura_lathami	
5.7345e-05	0.00025206	0.00017316	0.000337	0.00022675	0.0012176	0.00014438	5.7246e-05	9.6176e-06	3.6565e-05	0.045043	2.1239e-05	0.02539	1.0647e-06	0.0001208	0.00035398	5.2712e-05	0.0001979	0.0029177	0.0013197	1.2334e-05	5.9792e-05	0.1123	
5.663e-05	0.00024568	0.00017254	0.00032668	0.00022165	0.0012158	0.00014138	5.6707e-05	9.1172e-06	3.3427e-05	0.045064	2.0551e-05	0.025397	8.1267e-07	0.00011865	0.00034887	5.185e-05	0.00019532	0.0029146	0.0013157	1.1861e-05	5.7985e-05	0.1097	
5.5931e-05	0.00023957	0.00017197	0.00031692	0.00021687	0.001214	0.00013853	5.6239e-05	8.6786e-06	3.0407e-05	0.045086	1.9895e-05	0.025403	5.9243e-07	0.00011654	0.00034396	5.1007e-05	0.00019279	0.0029116	0.0013116	1.1406e-05	5.6199e-05	0.10727	
5.5226e-05	0.00023337	0.00017138	0.00030699	0.000212	0.0012123	0.00013563	5.5752e-05	8.223e-06	2.7351e-05	0.045108	1.9229e-05	0.02541	3.6355e-07	0.00011441	0.00033899	5.0157e-05	0.00019024	0.0029085	0.0013076	1.0945e-05	5.4405e-05	0.10478	
5.4517e-05	0.00022711	0.00017078	0.00029691	0.00020704	0.0012105	0.00013271	5.5246e-05	7.7513e-06	2.4261e-05	0.04513	1.8555e-05	0.025416	3.4424e-07	0.00011228	0.00033397	4.9302e-05	0.00018767	0.0029055	0.0013036	1.048e-05	5.2603e-05	0.10223	
5.3802e-05	0.00022077	0.00017017	0.00028667	0.00020199	0.0012087	0.00012975	5.4721e-05	7.2632e-06	2.1137e-05	0.045152	1.7871e-05	0.025422	3.2342e-07	0.00011013	0.00032889	4.844e-05	0.0001851	0.0029024	0.0012995	1.0009e-05	5.0793e-05	0.099622	
5.3105e-05	0.0002147	0.00016962	0.00027703	0.00019729	0.001207	0.00012694	5.4272e-05	6.84e-06	1.814e-05	0.045174	1.7222e-05	0.025429	3.0606e-07	0.00010802	0.00032401	4.7599e-05	0.00018256	0.0028994	0.0012955	9.5576e-06	4.9007e-05	0.097197	
5.2403e-05	0.00020856	0.00016904	0.00026724	0.00019249	0.0012053	0.0001241	5.3804e-05	6.4009e-06	1.5108e-05	0.045196	1.6564e-05	0.025435	2.8719e-07	0.0001059	0.00031908	4.6752e-05	0.00018002	0.0028964	0.0012914	9.101e-06	4.7213e-05	0.094714	
5.1695e-05	0.00020235	0.00016846	0.00025729	0.00018762	0.0012035	0.00012123	5.3318e-05	5.9464e-06	1.4934e-05	0.045219	1.5896e-05	0.025442	2.6686e-07	0.00010376	0.0003141	4.5899e-05	0.00017745	0.0028933	0.0012874	8.6392e-06	4.5411e-05	0.092177	
5.1004e-05	0.00019638	0.00016792	0.00024788	0.00018304	0.0012019	0.00011849	5.2897e-05	5.5467e-06	1.4771e-05	0.045241	1.5259e-05	0.025448	2.4942e-07	0.00010167	0.0003093	4.5065e-05	0.00017493	0.0028903	0.0012834	8.1948e-06	4.363e-05	0.089797	
