Zalophus_californianus	Vulpes_vulpes	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Phoca_vitulina	Odobenus_rosmarus	Neovison_vison	Mustela_putorius	Monachus_schauinslandi	Mirounga_leonina	Lontra_canadensis	Leptonychotes_weddellii	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	
0.01	0.00072718	0.0068759	0.0068295	0.0068295	0.038639	0.0087134	0.0065962	0.00053526	0.00022026	0.021572	0.00053668	0.0062396	0.0057339	0.00079822	0.00047948	0.0024746	0.0012087	0.00015166	
0.01	0.00072394	0.0068741	0.0068277	0.0068277	0.038666	0.008716	0.0065995	0.00053307	0.0002179	0.021575	0.00053301	0.0062379	0.0057339	0.00079655	0.0004758	0.0024711	0.0012053	0.00015003	
0.01	0.00072084	0.0068723	0.0068259	0.0068259	0.038694	0.008719	0.0066031	0.00053095	0.00021563	0.021578	0.00052941	0.0062361	0.0057339	0.0007949	0.0004723	0.0024676	0.0012018	0.00014846	
0.01	0.00059258	0.0067989	0.0067521	0.0067521	0.039812	0.0088372	0.006745	0.00044341	0.00012167	0.021717	0.00040007	0.0061655	0.0057611	0.0007271	0.00032734	0.0023247	0.0010614	8.3499e-05	
0.01	0.00058925	0.006797	0.0067502	0.0067502	0.03984	0.00884	0.0067485	0.00044114	0.00011923	0.021721	0.00039709	0.0061637	0.0057622	0.00072536	0.00032356	0.0023211	0.0010578	8.1813e-05	
0.01	0.00058585	0.0067951	0.0067483	0.0067483	0.039868	0.0088425	0.0067519	0.00043885	0.00011676	0.021725	0.00039417	0.0061618	0.0057635	0.00072362	0.0003197	0.0023174	0.0010542	8.0101e-05	
0.01	0.00058262	0.0067932	0.0067464	0.0067464	0.039897	0.0088458	0.0067432	0.00043608	0.00011679	0.021728	0.00039122	0.0061599	0.0057647	0.00072189	0.00031575	0.0023137	0.0010506	7.8461e-05	
0.01	0.00057957	0.0067914	0.0067446	0.0067446	0.039927	0.0088497	0.006735	0.0004334	0.00011685	0.021733	0.00038835	0.0061581	0.0057661	0.00072018	0.00031205	0.0023101	0.001047	7.6896e-05	
0.01	0.0005767	0.0067895	0.0067427	0.0067427	0.039956	0.0088535	0.0067267	0.00043069	0.0001169	0.021737	0.00038545	0.0061562	0.0057674	0.00071847	0.00030826	0.0023066	0.0010435	7.5305e-05	
0.01	0.00057377	0.0067877	0.0067409	0.0067409	0.039985	0.008857	0.0067182	0.00042796	0.00011693	0.021741	0.00038252	0.0061544	0.0057687	0.00071674	0.0003044	0.002303	0.0010399	7.369e-05	
0.01	0.00057077	0.0067859	0.0067391	0.0067391	0.040015	0.0088613	0.0067101	0.00042518	0.00011694	0.021744	0.00037956	0.0061525	0.0057699	0.00071504	0.00030046	0.0022994	0.0010364	7.2147e-05	
0.01	0.00056772	0.0067841	0.0067372	0.0067372	0.040045	0.0088653	0.006702	0.00042238	0.00011693	0.021749	0.00037667	0.0061505	0.0057713	0.00071332	0.00029644	0.0022958	0.0010328	7.058e-05	
0.01	0.00056484	0.0067823	0.0067355	0.0067355	0.040075	0.00887	0.0066701	0.00041954	0.0001169	0.021753	0.00037375	0.0061486	0.0057726	0.00071163	0.00029233	0.0022922	0.0010293	6.9083e-05	
