Trichechus_manatus	Orycteropus_afer	Mammuthus_primigenius	Loxodonta_africana	Elephas_maximus	
0.01965	1.3152e-05	0.0094812	0.0093365	0.0033099	
0.019667	1.2511e-05	0.0094809	0.0093321	0.0033061	
0.019688	1.197e-05	0.0094805	0.0093281	0.0033024	
0.019707	1.1389e-05	0.0094802	0.009324	0.0032986	
0.019722	1.0721e-05	0.0094799	0.0093202	0.003295	
0.019736	1.0004e-05	0.0094795	0.0093163	0.0032912	
0.019753	9.3894e-06	0.0094792	0.0093127	0.0032876	
0.019745	8.8992e-06	0.0094788	0.0093095	0.0032841	
0.019741	8.4879e-06	0.0094785	0.0093067	0.0032806	
0.019735	8.0461e-06	0.0094782	0.0093037	0.0032771	
0.019728	7.5711e-06	0.0094779	0.0093006	0.0032735	
0.019721	7.0607e-06	0.0094775	0.0092973	0.0032699	
0.019717	6.6417e-06	0.0094772	0.0092938	0.0032663	
0.019712	6.192e-06	0.0094768	0.0092902	0.0032626	
0.01971	5.8103e-06	0.0094765	0.0092869	0.0032591	
0.019707	5.4019e-06	0.0094762	0.0092836	0.0032554	
0.019703	4.9653e-06	0.0094758	0.00928	0.0032518	
0.019699	4.4987e-06	0.0094755	0.0092764	0.0032481	
0.019696	4.0967e-06	0.0094752	0.009273	0.0032445	
0.019696	3.7502e-06	0.0094748	0.0092701	0.003241	
0.019698	3.4517e-06	0.0094745	0.0092674	0.0032375	
0.019703	3.195e-06	0.0094742	0.0092651	0.0032341	
0.019706	3.0765e-06	0.0094739	0.0092627	0.0032307	
0.019711	2.9794e-06	0.0094735	0.0092606	0.0032273	
0.019715	2.8723e-06	0.0094732	0.0092584	0.0032239	
0.019722	2.7852e-06	0.0094729	0.0092566	0.0032206	
0.019731	2.7159e-06	0.0094726	0.0092551	0.0032174	
0.019717	2.6695e-06	0.0094723	0.009254	0.0032142	
0.019702	2.6148e-06	0.009472	0.0092528	0.003211	
0.01969	2.575e-06	0.0094717	0.0092519	0.0032079	
0.019681	2.549e-06	0.0094714	0.0092515	0.0032049	
0.019675	2.5364e-06	0.0094712	0.0092514	0.0032019	
0.019671	2.5374e-06	0.0094709	0.0092517	0.003199	
0.019667	2.5307e-06	0.0094706	0.0092518	0.0031961	
0.019665	2.5363e-06	0.0094703	0.0092523	0.0031933	
0.019662	2.5264e-06	0.0094701	0.0092526	0.0031904	
0.019662	2.5301e-06	0.0094698	0.0092534	0.0031876	
0.019661	2.5261e-06	0.0094695	0.0092539	0.0031848	
0.019659	2.5146e-06	0.0094693	0.0092543	0.0031819	
0.019654	2.563e-06	0.009469	0.0092546	0.003179	
0.019648	2.603e-06	0.0094687	0.0092546	0.003176	
0.019645	2.659e-06	0.0094684	0.0092551	0.0031732	
0.019641	2.7062e-06	0.0094682	0.0092554	0.0031703	
0.019635	2.7428e-06	0.0094679	0.0092561	0.0031674	
0.019632	2.7957e-06	0.0094676	0.0092573	0.0031647	
0.019632	2.7793e-06	0.0094674	0.0092588	0.003162	
0.019636	2.6858e-06	0.0094671	0.0092607	0.0031594	
0.019638	2.5807e-06	0.0094669	0.0092624	0.0031568	
0.019644	2.4968e-06	0.0094666	0.0092646	0.0031543	
0.019627	2.4377e-06	0.0094664	0.0092671	0.0031518	
0.019609	2.3694e-06	0.0094662	0.0092694	0.0031493	
0.019585	2.2832e-06	0.0094659	0.0092722	0.0031469	
0.019559	2.1864e-06	0.0094657	0.0092748	0.0031444	
0.019532	2.0788e-06	0.0094655	0.0092773	0.0031419	
0.019498	1.9503e-06	0.0094652	0.0092801	0.0031395	
0.019398	1.8523e-06	0.009465	0.0092833	0.0031371	
0.019294	1.7412e-06	0.0094648	0.0092863	0.0031347	
0.019183	1.6182e-06	0.0094645	0.0092892	0.0031323	
0.01909	1.5179e-06	0.0094643	0.0092925	0.00313	
0.018991	1.407e-06	0.0094641	0.0092956	0.0031276	
0.01888	1.3625e-06	0.0094638	0.0092985	0.0031252	
0.018783	1.3287e-06	0.0094636	0.0093018	0.0031228	
0.01868	1.2878e-06	0.0094634	0.009305	0.0031204	
0.018572	1.2398e-06	0.0094632	0.0093079	0.003118	
0.018456	1.1844e-06	0.0094629	0.0093108	0.0031155	
0.018357	1.1409e-06	0.0094627	0.009314	0.0031131	
0.018277	1.1104e-06	0.0094625	0.009317	0.0031107	
0.018054	1.093e-06	0.0094622	0.0093204	0.0031084	
0.017861	1.0842e-06	0.009462	0.0093242	0.0031061	
0.017657	1.0698e-06	0.0094618	0.0093278	0.0031038	
0.01748	1.0639e-06	0.0094616	0.0093319	0.0031016	
0.017325	1.0655e-06	0.0094614	0.0093363	0.0030994	
0.017191	1.0753e-06	0.0094612	0.0093412	0.0030973	
0.017074	1.0937e-06	0.009461	0.0093464	0.0030953	
0.016972	1.1249e-06	0.0094608	0.009352	0.0030934	
0.016887	1.1119e-06	0.0094606	0.0093581	0.0030915	
0.016796	1.0877e-06	0.0094604	0.009364	0.0030896	
0.016717	1.0723e-06	0.0094603	0.0093703	0.0030878	
0.016649	1.003e-06	0.0094601	0.009377	0.0030861	
0.01659	9.4489e-07	0.0094599	0.0093841	0.0030844	
0.016518	8.7441e-07	0.0094598	0.0093916	0.0030829	
0.016455	8.1445e-07	0.0094596	0.0093995	0.0030813	
0.016388	7.4824e-07	0.0094595	0.0094072	0.0030798	
0.01633	6.9124e-07	0.0094593	0.0094153	0.0030783	
0.016277	6.4213e-07	0.0094592	0.0094237	0.0030768	
