Struthio_camelus_australis	Rhea_americana	Nothoprocta_perdicaria	Dromaius_novaehollandiae	Casuarius_casuarius	Apteryx_rowi	Apteryx_australis_mantelli	
0.00014189	1.28e-05	0.97698	0.00032649	0.01	0.01	0.01	
0.00013976	1.2198e-05	0.97775	0.00032484	0.01	0.01	0.01	
0.00013782	1.1661e-05	0.97874	0.00032328	0.01	0.01	0.01	
0.0001358	1.1098e-05	0.97965	0.00032168	0.01	0.01	0.01	
0.00013371	1.051e-05	0.98049	0.00032004	0.01	0.01	0.01	
0.00013154	9.8953e-06	0.98128	0.00031837	0.01	0.01	0.01	
0.00012957	9.3597e-06	0.98227	0.00031679	0.01	0.01	0.01	
0.00012751	8.7969e-06	0.98319	0.00031517	0.01	0.01	0.01	
0.00012538	8.2078e-06	0.98405	0.00031351	0.01	0.01	0.01	
0.00012345	7.6849e-06	0.98399	0.00031195	0.01	0.01	0.01	
0.00012169	7.2208e-06	0.9841	0.00031047	0.01	0.01	0.01	
0.00011986	6.7344e-06	0.98417	0.00030897	0.01	0.01	0.01	
0.0001182	6.3031e-06	0.98338	0.00030755	0.01	0.01	0.01	
0.00011671	5.9208e-06	0.98279	0.00030621	0.01	0.01	0.01	
0.00011536	5.582e-06	0.98239	0.00030497	0.01	0.01	0.01	
0.00011415	5.2822e-06	0.98217	0.0003038	0.01	0.01	0.01	
0.00011306	5.0174e-06	0.98214	0.00030272	0.01	0.01	0.01	
0.00011192	4.7371e-06	0.98204	0.0003016	0.01	0.01	0.01	
0.00010772	4.4902e-06	0.98214	0.00030056	0.01	0.01	0.01	
0.00010386	4.273e-06	0.98242	0.0002996	0.01	0.01	0.01	
0.00010034	4.0823e-06	0.98188	0.00029871	0.01	0.01	0.01	
9.7123e-05	3.9154e-06	0.98015	0.0002979	0.01	0.01	0.01	
9.3792e-05	3.7383e-06	0.9783	0.00029706	0.01	0.01	0.01	
9.0743e-05	3.5831e-06	0.97676	0.00029629	0.01	0.01	0.01	
8.7578e-05	3.4176e-06	0.97508	0.00029549	0.01	0.01	0.01	
8.4306e-05	3.2422e-06	0.97327	0.00029466	0.01	0.01	0.01	
8.131e-05	3.088e-06	0.96888	0.0002939	0.01	0.01	0.01	
7.8203e-05	2.9238e-06	0.96414	0.00029311	0.01	0.01	0.01	
7.4991e-05	2.7501e-06	0.95858	0.0002923	0.01	0.01	0.01	
7.2035e-05	2.596e-06	0.95374	0.00029156	0.01	0.01	0.01	
6.9307e-05	2.4588e-06	0.94951	0.00029088	0.01	0.01	0.01	
6.6785e-05	2.3364e-06	0.9458	0.00029027	0.01	0.01	0.01	
6.4448e-05	2.227e-06	0.94256	0.00028971	0.01	0.01	0.01	
6.2043e-05	2.1114e-06	0.93911	0.00028912	0.01	0.01	0.01	
5.9569e-05	1.9896e-06	0.93542	0.00028852	0.01	0.01	0.01	
5.7032e-05	1.8619e-06	0.93151	0.00028789	0.01	0.01	0.01	
5.4673e-05	1.7467e-06	0.92808	0.00028732	0.01	0.01	0.01	
5.2479e-05	1.6427e-06	0.92509	0.00028296	0.01	0.01	0.01	
5.0435e-05	1.5488e-06	0.92249	0.00027876	0.01	0.01	0.01	
4.8529e-05	1.4638e-06	0.92026	0.0002747	0.01	0.01	0.01	
4.6751e-05	1.3869e-06	0.91835	0.00027078	0.01	0.01	0.01	
4.5092e-05	1.3174e-06	0.91675	0.00026699	0.01	0.01	0.01	
4.3543e-05	1.2547e-06	0.91545	0.00026333	0.01	0.01	0.01	
4.2096e-05	1.1981e-06	0.91444	0.00025979	0.01	0.01	0.01	
4.0745e-05	1.1472e-06	0.91369	0.00025636	0.01	0.01	0.01	
3.9359e-05	1.0927e-06	0.91284	0.0002529	0.01	0.01	0.01	
3.7937e-05	1.0347e-06	0.91187	0.0002494	0.01	0.01	0.01	
3.6476e-05	9.729e-07	0.91078	0.00024586	0.01	0.01	0.01	
3.5114e-05	9.17e-07	0.90998	0.00024244	0.01	0.01	0.01	
3.3714e-05	8.5739e-07	0.90906	0.00023898	0.01	0.01	0.01	
3.2411e-05	8.0353e-07	0.90843	0.00023565	0.01	0.01	0.01	
3.1069e-05	7.4588e-07	0.90767	0.00023227	0.01	0.01	0.01	
2.9825e-05	6.9397e-07	0.90722	0.00022901	0.01	0.01	0.01	
2.8675e-05	6.4751e-07	0.90709	0.00022589	0.01	0.01	0.01	
2.7486e-05	5.9732e-07	0.90681	0.00022271	0.01	0.01	0.01	
2.642e-05	5.5459e-07	0.90692	0.00021948	0.01	0.01	0.01	
2.531e-05	5.0774e-07	0.90685	0.00021619	0.01	0.01	0.01	
2.5473e-05	4.5668e-07	0.90659	0.00021283	0.01	0.01	0.01	
2.5007e-05	4.1155e-07	0.90672	0.00020963	0.01	0.01	0.01	
2.4525e-05	3.6246e-07	0.90667	0.00020637	0.01	0.01	0.01	
2.4096e-05	3.1881e-07	0.90701	0.00020326	0.01	0.01	0.01	
2.3639e-05	3.4056e-07	0.90715	0.00020009	0.01	0.01	0.01	
2.3152e-05	3.601e-07	0.9071	0.00019685	0.01	0.01	0.01	
2.2636e-05	3.7648e-07	0.90686	0.00019355	0.01	0.01	0.01	
2.2089e-05	3.8975e-07	0.90643	0.00019018	0.01	0.01	0.01	
2.1512e-05	3.9995e-07	0.9058	0.00018675	0.01	0.01	0.01	
2.0993e-05	4.1302e-07	0.90556	0.00018347	0.01	0.01	0.01	
2.0528e-05	4.2915e-07	0.9057	0.00018034	0.01	0.01	0.01	
2.0035e-05	4.4208e-07	0.90565	0.00017714	0.01	0.01	0.01	
1.9593e-05	4.1088e-07	0.90598	0.00017409	0.01	0.01	0.01	
1.905e-05	4.3587e-07	0.90599	0.00017118	0.01	0.01	0.01	
1.8561e-05	4.6472e-07	0.90637	0.0001684	0.01	0.01	0.01	
1.8122e-05	4.9781e-07	0.90714	0.00016575	0.01	0.01	0.01	
1.7656e-05	5.2726e-07	0.90753	0.00016305	0.01	0.01	0.01	
1.7235e-05	5.6078e-07	0.90826	0.00016046	0.01	0.01	0.01	
1.6854e-05	5.9846e-07	0.90934	0.00015797	0.01	0.01	0.01	
1.6509e-05	6.4047e-07	0.91076	0.00015559	0.01	0.01	0.01	
1.6197e-05	6.8705e-07	0.91252	0.00015329	0.01	0.01	0.01	
1.5868e-05	7.303e-07	0.91413	0.00015097	0.01	0.01	0.01	
1.557e-05	7.781e-07	0.91608	0.00014873	0.01	0.01	0.01	
1.5299e-05	8.3079e-07	0.91838	0.00014657	0.01	0.01	0.01	
1.5015e-05	8.8029e-07	0.92054	0.00014438	0.01	0.01	0.01	
1.4757e-05	9.3485e-07	0.92305	0.00014228	0.01	0.01	0.01	
1.4485e-05	9.8621e-07	0.92518	0.00014015	0.01	0.01	0.01	
1.4239e-05	1.0427e-06	0.92765	0.00013809	0.01	0.01	0.01	
1.398e-05	1.0961e-06	0.92998	0.00013601	0.01	0.01	0.01	
1.3744e-05	1.1547e-06	0.93265	0.000134	0.01	0.01	0.01	
1.3531e-05	1.1208e-06	0.93569	0.00013206	0.01	0.01	0.01	
1.3339e-05	1.0907e-06	0.93909	0.00013018	0.01	0.01	0.01	
1.3167e-05	1.0643e-06	0.9429	0.00012837	0.01	0.01	0.01	
1.2983e-05	1.0352e-06	0.94653	0.00012654	0.01	0.01	0.01	
1.2789e-05	1.0035e-06	0.95001	0.00012468	0.01	0.01	0.01	
1.2613e-05	9.7525e-07	0.95387	0.00012289	0.01	0.01	0.01	
1.2455e-05	9.5018e-07	0.95813	0.00012115	0.01	0.01	0.01	
1.2315e-05	9.2815e-07	0.96281	0.00011947	0.01	0.01	0.01	
1.2191e-05	9.09e-07	0.96795	0.00011784	0.01	0.01	0.01	
1.2083e-05	8.9264e-07	0.96948	0.00011626	0.01	0.01	0.01	
1.1991e-05	8.7892e-07	0.97122	0.00011474	0.01	0.01	0.01	
1.1889e-05	8.6283e-07	0.9729	0.00011319	0.01	0.01	0.01	
1.1802e-05	8.4929e-07	0.97287	0.0001117	0.01	0.01	0.01	
1.173e-05	8.3818e-07	0.97298	0.00011025	0.01	0.01	0.01	
1.1672e-05	8.2939e-07	0.97325	0.00010884	0.01	0.01	0.01	
1.1629e-05	8.2287e-07	0.97365	0.00010748	0.01	0.01	0.01	
1.1575e-05	8.1412e-07	0.97403	0.00010611	0.01	0.01	0.01	
1.1513e-05	8.0324e-07	0.97439	0.00010472	0.01	0.01	0.01	
1.1443e-05	7.9023e-07	0.97473	0.00010332	0.01	0.01	0.01	
1.1386e-05	7.7939e-07	0.97521	0.00010196	0.01	0.01	0.01	
1.1319e-05	7.6637e-07	0.97567	0.00010058	0.01	0.01	0.01	
1.1244e-05	7.5118e-07	0.97611	9.9195e-05	0.01	0.01	0.01	
1.1182e-05	7.3809e-07	0.97668	9.7849e-05	0.01	0.01	0.01	
1.1112e-05	7.2292e-07	0.97724	9.6491e-05	0.01	0.01	0.01	
1.1032e-05	7.0566e-07	0.97778	9.5121e-05	0.01	0.01	0.01	
1.0945e-05	6.8632e-07	0.9783	9.3739e-05	0.01	0.01	0.01	
1.087e-05	6.6904e-07	0.97896	9.2397e-05	0.01	0.01	0.01	
1.0787e-05	6.4961e-07	0.97959	9.1042e-05	0.01	0.01	0.01	
1.0716e-05	6.3219e-07	0.98037	8.9727e-05	0.01	0.01	0.01	
1.0658e-05	6.1666e-07	0.9813	8.8449e-05	0.01	0.01	0.01	
1.0613e-05	6.0297e-07	0.98237	8.7209e-05	0.01	0.01	0.01	
1.0581e-05	5.9103e-07	0.98361	8.6005e-05	0.01	0.01	0.01	
1.056e-05	5.8079e-07	0.98501	8.4836e-05	0.01	0.01	0.01	
1.0553e-05	5.7221e-07	0.98505	8.3703e-05	0.01	0.01	0.01	
1.0536e-05	5.6163e-07	0.98509	8.2558e-05	0.01	0.01	0.01	
1.0533e-05	5.5266e-07	0.98525	8.1448e-05	0.01	0.01	0.01	
1.052e-05	5.4163e-07	0.98539	8.0326e-05	0.01	0.01	0.01	
1.0499e-05	5.2859e-07	0.98553	7.9192e-05	0.01	0.01	0.01	
1.049e-05	5.1714e-07	0.98579	7.8093e-05	0.01	0.01	0.01	
1.0473e-05	5.0363e-07	0.98604	7.6981e-05	0.01	0.01	0.01	
1.0446e-05	4.8805e-07	0.98628	7.5858e-05	0.01	0.01	0.01	
1.0411e-05	4.7044e-07	0.98644	7.4723e-05	0.01	0.01	0.01	
1.0388e-05	4.5443e-07	0.98672	7.3622e-05	0.01	0.01	0.01	
1.0378e-05	4.3992e-07	0.98712	7.2554e-05	0.01	0.01	0.01	
1.0381e-05	4.2683e-07	0.98764	7.1518e-05	0.01	0.01	0.01	
1.0374e-05	4.1171e-07	0.98814	7.047e-05	0.01	0.01	0.01	
1.0359e-05	3.9454e-07	0.98864	6.941e-05	0.01	0.01	0.01	
1.0356e-05	3.7877e-07	0.98925	6.8383e-05	0.01	0.01	0.01	
1.0344e-05	3.6096e-07	0.98986	6.7343e-05	0.01	0.01	0.01	
1.0323e-05	3.4114e-07	0.99045	6.6293e-05	0.01	0.01	0.01	
1.0315e-05	3.2274e-07	0.99117	6.5274e-05	0.01	0.01	0.01	
1.032e-05	3.0566e-07	0.99099	6.4287e-05	0.01	0.01	0.01	
1.0317e-05	2.8659e-07	0.99081	6.3289e-05	0.01	0.01	0.01	
1.0326e-05	2.6878e-07	0.99073	6.2322e-05	0.01	0.01	0.01	
1.0327e-05	2.4892e-07	0.99066	6.1343e-05	0.01	0.01	0.01	
1.034e-05	2.3027e-07	0.99068	6.0395e-05	0.01	0.01	0.01	
1.0368e-05	2.1273e-07	0.99081	5.9478e-05	0.01	0.01	0.01	
1.0386e-05	1.9321e-07	0.99094	5.8549e-05	0.01	0.01	0.01	
1.0418e-05	1.7479e-07	0.99118	5.765e-05	0.01	0.01	0.01	
1.0466e-05	1.574e-07	0.99153	5.6784e-05	0.01	0.01	0.01	
1.0503e-05	1.3798e-07	0.99188	5.5904e-05	0.01	0.01	0.01	
1.052e-05	1.5792e-07	0.9922	5.501e-05	0.01	0.01	0.01	
1.0553e-05	1.792e-07	0.99264	5.4149e-05	0.01	0.01	0.01	
1.0576e-05	1.9831e-07	0.99308	5.3274e-05	0.01	0.01	0.01	
1.0587e-05	2.1528e-07	0.9935	5.2386e-05	0.01	0.01	0.01	
1.0588e-05	2.3015e-07	0.99392	5.1484e-05	0.01	0.01	0.01	
1.0605e-05	2.4629e-07	0.99369	5.0615e-05	0.01	0.01	0.01	
1.0611e-05	2.6024e-07	0.99345	4.9731e-05	0.01	0.01	0.01	
1.0606e-05	2.721e-07	0.99321	4.8835e-05	0.01	0.01	0.01	
1.0617e-05	2.852e-07	0.99308	4.7969e-05	0.01	0.01	0.01	
1.0617e-05	2.9614e-07	0.99294	4.709e-05	0.01	0.01	0.01	
1.0607e-05	3.05e-07	0.9928	4.6198e-05	0.01	0.01	0.01	
1.0587e-05	3.1179e-07	0.99267	4.5294e-05	0.01	0.01	0.01	
1.0556e-05	3.1651e-07	0.99253	4.4378e-05	0.01	0.01	0.01	
1.0541e-05	3.2245e-07	0.99249	4.3491e-05	0.01	0.01	0.01	
1.0514e-05	3.2623e-07	0.99246	4.2592e-05	0.01	0.01	0.01	
1.0477e-05	3.2784e-07	0.99242	4.1678e-05	0.01	0.01	0.01	
1.0456e-05	3.3074e-07	0.99248	4.0795e-05	0.01	0.01	0.01	
1.045e-05	3.35e-07	0.99265	3.9943e-05	0.01	0.01	0.01	
1.0433e-05	3.37e-07	0.99282	3.9076e-05	0.01	0.01	0.01	
1.0405e-05	3.3678e-07	0.99298	3.8195e-05	0.01	0.01	0.01	
1.0368e-05	3.343e-07	0.99314	3.73e-05	0.01	0.01	0.01	
1.0319e-05	3.2953e-07	0.99328	3.639e-05	0.01	0.01	0.01	
1.0289e-05	3.2637e-07	0.99355	3.5514e-05	0.01	0.01	0.01	
1.0245e-05	3.2079e-07	0.9938	3.4621e-05	0.01	0.01	0.01	
1.0188e-05	3.1273e-07	0.99403	3.3711e-05	0.01	0.01	0.01	
1.0118e-05	3.0213e-07	0.99426	3.2784e-05	0.01	0.01	0.01	
1.0068e-05	2.9344e-07	0.99395	3.1893e-05	0.01	0.01	0.01	
1.0003e-05	2.8214e-07	0.99361	3.0984e-05	0.01	0.01	0.01	
9.9248e-06	2.683e-07	0.99326	3.0056e-05	0.01	0.01	0.01	
9.8678e-06	2.5648e-07	0.99304	2.911e-05	0.01	0.01	0.01	
9.7968e-06	2.421e-07	0.99281	2.8145e-05	0.01	0.01	0.01	
9.7114e-06	2.2513e-07	0.99255	2.716e-05	0.01	0.01	0.01	
9.6115e-06	2.055e-07	0.99226	2.6156e-05	0.01	0.01	0.01	
9.4968e-06	1.8315e-07	0.99195	2.5131e-05	0.01	0.01	0.01	
9.3667e-06	1.58e-07	0.99161	2.4084e-05	0.01	0.01	0.01	
9.2607e-06	1.3537e-07	0.99143	2.3024e-05	0.01	0.01	0.01	
9.1391e-06	1.0993e-07	0.99121	2.1941e-05	0.01	0.01	0.01	
9.041e-06	8.6785e-08	0.99114	2.0906e-05	0.01	0.01	0.01	
8.9658e-06	6.5582e-08	0.99044	1.9916e-05	0.01	0.01	0.01	
8.9129e-06	4.6004e-08	0.98993	1.8969e-05	0.01	0.01	0.01	
8.8818e-06	2.7754e-08	0.98959	1.8064e-05	0.01	0.01	0.01	
8.8007e-06	2.7216e-08	0.98915	1.7197e-05	0.01	0.01	0.01	
8.7035e-06	2.486e-08	0.98866	1.631e-05	0.01	0.01	0.01	
8.6286e-06	2.219e-08	0.98834	1.5461e-05	0.01	0.01	0.01	
8.5754e-06	1.9164e-08	0.98819	1.4649e-05	0.01	0.01	0.01	
8.5075e-06	1.4387e-08	0.988	1.3818e-05	0.01	0.01	0.01	
8.461e-06	9.2188e-09	0.98798	1.3023e-05	0.01	0.01	0.01	
8.3621e-06	1.1192e-08	0.98787	1.2262e-05	0.01	0.01	0.01	
8.2851e-06	1.25e-08	0.98792	1.1533e-05	0.01	0.01	0.01	
8.2293e-06	1.3162e-08	0.98814	1.0835e-05	0.01	0.01	0.01	
8.159e-06	1.2174e-08	0.98833	1.012e-05	0.01	0.01	0.01	
8.1096e-06	1.0537e-08	0.98868	9.4353e-06	0.01	0.01	0.01	
8.0807e-06	8.2265e-09	0.98921	8.7791e-06	0.01	0.01	0.01	
8.0372e-06	1.5556e-08	0.9897	8.1074e-06	0.01	0.01	0.01	
7.9793e-06	2.1091e-08	0.99013	7.4198e-06	0.01	0.01	0.01	
7.906e-06	2.4803e-08	0.99052	7.4481e-06	0.01	0.01	0.01	
7.8533e-06	2.8244e-08	0.99108	7.4836e-06	0.01	0.01	0.01	
7.7863e-06	2.9892e-08	0.9916	7.5108e-06	0.01	0.01	0.01	
7.7397e-06	3.1292e-08	0.99229	7.5453e-06	0.01	0.01	0.01	
7.6779e-06	3.0849e-08	0.99293	7.5711e-06	0.01	0.01	0.01	
7.6362e-06	3.0167e-08	0.99376	7.6042e-06	0.01	0.01	0.01	
7.5679e-06	2.7112e-08	0.99451	7.6446e-06	0.01	0.01	0.01	
7.7384e-06	3.06e-08	0.99497	7.6764e-06	0.01	0.01	0.01	
7.8923e-06	3.223e-08	0.9954	7.6994e-06	0.01	0.01	0.01	
8.0703e-06	3.3661e-08	0.99597	7.7298e-06	0.01	0.01	0.01	
7.9909e-06	3.5402e-08	0.99621	7.7676e-06	0.01	0.01	0.01	
7.8958e-06	3.5267e-08	0.99644	7.7967e-06	0.01	0.01	0.01	
7.7849e-06	3.3254e-08	0.99665	7.8172e-06	0.01	0.01	0.01	
7.6545e-06	5.4762e-08	0.99681	7.8289e-06	0.01	0.01	0.01	
7.5461e-06	7.8037e-08	0.99708	7.848e-06	0.01	0.01	0.01	
7.4219e-06	9.861e-08	0.99734	7.8584e-06	0.01	0.01	0.01	
7.3191e-06	1.2114e-07	0.99729	7.8762e-06	0.01	0.01	0.01	
7.2368e-06	1.4597e-07	0.99735	7.9014e-06	0.01	0.01	0.01	
7.1742e-06	1.7347e-07	0.9975	7.934e-06	0.01	0.01	0.01	
7.131e-06	2.0404e-07	0.99738	7.9742e-06	0.01	0.01	0.01	
7.074e-06	2.3155e-07	0.99724	8.0061e-06	0.01	0.01	0.01	
7.0024e-06	2.5587e-07	0.99711	8.0293e-06	0.01	0.01	0.01	
6.9168e-06	2.7725e-07	0.99697	8.0442e-06	0.01	0.01	0.01	
6.8163e-06	2.9555e-07	0.99682	8.0505e-06	0.01	0.01	0.01	
6.7354e-06	3.1672e-07	0.99678	8.0642e-06	0.01	0.01	0.01	
6.6396e-06	3.3475e-07	0.99673	8.0692e-06	0.01	0.01	0.01	
6.5288e-06	3.4965e-07	0.99668	8.0655e-06	0.01	0.01	0.01	
6.4374e-06	3.6749e-07	0.99673	8.0693e-06	0.01	0.01	0.01	
6.3322e-06	3.8232e-07	0.99677	8.0648e-06	0.01	0.01	0.01	
