Zonotrichia_albicollis	Taeniopygia_guttata	Sturnus_vulgaris	Stachyridopsis_ruficeps	Serinus_canaria	Pseudopodoces_humilis	Pipra_filicauda	Passer_domesticus	Parus_major	Oriolus_oriolus	Neopelma_chrysocephalum	Molothrus_ater	Manacus_vitellinus	Malurus_cyaneus	Lonchura_Striata_domestica	Lepidothrix_coronata	Geospiza_fortis	Ficedula_albicollis	Erythrura_gouldiae	Empidonax_traillii	Cyanistes_caeruleus	Corvus_moneduloides	Corvus_brachyrhynchos	Corapipo_altera	Chiroxiphia_lanceolata	Catharus_ustulatus	Camarhynchus_parvulus	Acanthisitta_chloris	
0.00070362	0.00011147	1.233e-05	6.3208e-05	7.599e-05	0.00026143	0.019575	3.1609e-05	0.00041198	0.00062493	0.00012536	9.8162e-05	0.00094582	1.0813e-05	8.1745e-05	0.01	0.01	0.082201	0.043164	0.00063198	0.0088773	0.012757	0.02541	0.00063983	0.00025492	2.5485e-05	0.01	0.0011271	
0.0007022	0.00011012	1.1559e-05	6.0741e-05	7.4934e-05	0.00025984	0.019577	3.0955e-05	0.00040761	0.00061441	0.00012304	9.6907e-05	0.00094288	1.0393e-05	7.9372e-05	0.01	0.01	0.082254	0.043189	0.00062519	0.0088766	0.012762	0.025424	0.00063578	0.0002512	2.4712e-05	0.01	0.0011249	
0.00070086	0.0001088	1.0838e-05	5.8473e-05	7.3953e-05	0.00025827	0.01958	3.0337e-05	0.00040328	0.00060436	0.0001208	9.5698e-05	0.00093996	1.0008e-05	7.7042e-05	0.01	0.01	0.082313	0.043214	0.00061865	0.0088759	0.012766	0.025438	0.00063186	0.00024752	2.3993e-05	0.01	0.0011229	
0.0006995	0.00010748	1.0105e-05	5.6154e-05	7.2952e-05	0.00025669	0.019582	2.971e-05	0.00039893	0.00059418	0.00011854	9.4476e-05	0.00093704	9.6145e-06	7.4698e-05	0.01	0.01	0.082371	0.04324	0.00061204	0.0088752	0.01277	0.025452	0.0006279	0.00024382	2.3259e-05	0.01	0.0011209	
0.00069812	0.00010615	9.3592e-06	5.379e-05	7.1934e-05	0.0002551	0.019584	2.9073e-05	0.00039457	0.00058388	0.00011626	9.3243e-05	0.0009341	9.2129e-06	7.2342e-05	0.01	0.01	0.082428	0.043265	0.00060537	0.0088745	0.012775	0.025466	0.00062391	0.00024011	2.2514e-05	0.01	0.0011189	
0.00069672	0.0001048	8.6019e-06	5.1379e-05	7.0898e-05	0.00025351	0.019586	2.8428e-05	0.00039019	0.00057347	0.00011396	9.1999e-05	0.00093116	8.8031e-06	6.9974e-05	0.01	0.01	0.082483	0.04329	0.00059863	0.0088738	0.012779	0.02548	0.00061989	0.00023639	2.1756e-05	0.01	0.0011167	
0.0006954	0.0001035	7.895e-06	4.9166e-05	6.9938e-05	0.00025194	0.019588	2.782e-05	0.00038586	0.00056354	0.00011174	9.08e-05	0.00092824	8.4282e-06	6.7649e-05	0.01	0.01	0.082545	0.043316	0.00059214	0.0088731	0.012784	0.025494	0.000616	0.00023271	2.1051e-05	0.01	0.0011148	
0.00069406	0.00010218	7.1747e-06	4.6902e-05	6.8957e-05	0.00025037	0.01959	2.7202e-05	0.00038152	0.00055347	0.0001095	8.9588e-05	0.00092531	8.0441e-06	6.531e-05	0.01	0.01	0.082605	0.043342	0.00058559	0.0088724	0.012788	0.025508	0.00061207	0.00022901	2.0332e-05	0.01	0.0011129	
0.0006927	0.00010086	6.3961e-06	4.4586e-05	6.9558e-05	0.00024879	0.019592	2.6574e-05	0.00037715	0.00054327	0.00010723	8.8353e-05	0.00092238	7.6511e-06	6.2957e-05	0.01	0.01	0.082676	0.043367	0.00057896	0.0088717	0.012793	0.025522	0.0006081	0.0002253	1.9693e-05	0.01	0.0011109	
0.00069143	9.9572e-05	5.6706e-06	4.2465e-05	7.0214e-05	0.00024723	0.019594	2.5984e-05	0.00037284	0.00053355	0.00010504	8.7165e-05	0.00091946	7.2923e-06	6.0648e-05	0.01	0.01	0.082754	0.043395	0.00057258	0.008871	0.012797	0.025537	0.00060427	0.00022163	1.9099e-05	0.01	0.001109	
