Vicugna_pacos	Tursiops_truncatus	Sus_scrofa	Physeter_catodon	Phocoena_sinus	Ovis_aries	Orcinus_orca	Odocoileus_virginianus	Monodon_monoceros	Lipotes_vexillifer	Lagenorhynchus_obliquidens	Globicephala_melas	Delphinapterus_leucas	Capra_hircus	Camelus_ferus	Camelus_dromedarius	Camelus_bactrianus	Bubalus_bubalis	Bos_taurus	Bos_mutus	Bison_bison	Balaenoptera_musculus	Balaenoptera_acutorostrata	
0.00078454	0.021981	0.01839	2.856e-05	9.5866e-05	0.0062057	0.0079203	8.3603e-05	0.01	0.0001191	0.00050308	0.0053724	0.01	0.00021297	0.00078453	0.0014443	0.0094	0.00033238	0.01	0.00034414	0.00076077	0.00024272	0.89808	
0.00077882	0.021992	0.01515	2.4637e-05	9.4456e-05	0.0062053	0.007919	8.207e-05	0.01	0.00011565	0.00049659	0.0053697	0.01	0.00021134	0.00078272	0.0014401	0.0093996	0.00032895	0.01	0.00034041	0.00075889	0.00024033	0.89797	
0.00077335	0.022004	0.013025	2.0961e-05	9.3088e-05	0.006205	0.0079177	8.0642e-05	0.01	0.00011227	0.00049033	0.0053671	0.01	0.00020974	0.00078092	0.0014361	0.0093993	0.0003256	0.01	0.00033675	0.00075703	0.00023802	0.89793	
0.0007678	0.022016	0.010614	1.7207e-05	9.1706e-05	0.0062047	0.0079165	7.9182e-05	0.01	0.00010886	0.00048399	0.0053645	0.01	0.00020813	0.00077912	0.001432	0.0093989	0.00032222	0.01	0.00033306	0.00075516	0.00023568	0.89787	
0.00076214	0.022029	0.0097978	1.3696e-05	9.0368e-05	0.0062044	0.0079152	7.765e-05	0.01	0.00010552	0.00047788	0.0053619	0.01	0.0002065	0.00077731	0.0014279	0.0093985	0.00031866	0.01	0.00032943	0.00075331	0.00023342	0.89788	
0.0007564	0.022041	0.0088516	1.0109e-05	8.9015e-05	0.006204	0.007914	7.6083e-05	0.01	0.00010216	0.0004717	0.0053593	0.01	0.00020487	0.00077549	0.0014237	0.0093981	0.00031507	0.01	0.00032578	0.00075146	0.00023113	0.89787	
0.0007509	0.022054	0.0082534	6.7437e-06	8.7703e-05	0.0062037	0.0079127	7.4622e-05	0.01	9.8873e-05	0.00046574	0.0053568	0.01	0.00020326	0.00077369	0.0014197	0.0093978	0.00031156	0.01	0.00032218	0.00074962	0.00022892	0.89793	
0.00074531	0.022067	0.0075458	6.3214e-06	8.6376e-05	0.0062037	0.0079115	7.3262e-05	0.01	9.5557e-05	0.00046854	0.0053542	0.01	0.00020168	0.00077188	0.0014156	0.0093974	0.00030814	0.01	0.00031865	0.00074781	0.00022668	0.89796	
0.00073996	0.022081	0.0071004	5.9247e-06	8.5088e-05	0.0062038	0.0079103	7.1992e-05	0.01	9.2307e-05	0.00047147	0.0053517	0.01	0.00020013	0.00077009	0.0014116	0.009397	0.0003048	0.01	0.00031516	0.00074602	0.0002245	0.89806	
0.00073453	0.022095	0.0065837	5.5113e-06	8.3788e-05	0.0062039	0.0079091	7.0697e-05	0.01	8.9035e-05	0.00047436	0.0053492	0.01	0.00019856	0.00076829	0.0014076	0.0093967	0.00030143	0.01	0.00031165	0.00074422	0.00022231	0.89814	
0.00072904	0.022108	0.0059916	5.0815e-06	8.2477e-05	0.006204	0.0079078	6.9376e-05	0.01	8.5741e-05	0.0004772	0.0053467	0.01	0.00019699	0.00076649	0.0014035	0.0093963	0.00029804	0.01	0.00030813	0.00074241	0.00022009	0.8982	
0.00072349	0.022121	0.0053181	4.6349e-06	8.1153e-05	0.006204	0.0079066	6.8031e-05	0.01	8.2426e-05	0.00047999	0.0053441	0.01	0.00019541	0.00076468	0.0013994	0.0093959	0.00029462	0.01	0.00030459	0.0007406	0.00021795	0.89833	
0.00071814	0.022135	0.0048712	4.2105e-06	7.9865e-05	0.0062041	0.0079054	6.6767e-05	0.01	7.9171e-05	0.00048291	0.0053416	0.01	0.00019385	0.00076289	0.0013954	0.0093956	0.00029128	0.01	0.0003011	0.0007388	0.00021587	0.89853	
0.00071274	0.022149	0.0043623	3.7707e-06	7.8566e-05	0.0062042	0.0079042	6.548e-05	0.01	7.5896e-05	0.00048578	0.0053391	0.01	0.00019228	0.00076109	0.0013914	0.0093952	0.00028791	0.01	0.00029758	0.000737	0.00021377	0.8987	
0.00070753	0.022164	0.0040271	3.3514e-06	7.7301e-05	0.0062045	0.007903	6.427e-05	0.01	7.2679e-05	0.00048878	0.0053366	0.01	0.00019074	0.0007593	0.0013874	0.0093948	0.00028461	0.01	0.00029412	0.00073521	0.00021173	0.89894	
0.00070226	0.022178	0.0036408	2.9169e-06	7.6025e-05	0.0062048	0.0079018	6.3038e-05	0.01	6.9443e-05	0.00049173	0.0053341	0.01	0.00018919	0.00075752	0.0013834	0.0093945	0.00028129	0.01	0.00029064	0.00073342	0.00020966	0.89916	
0.00069694	0.022192	0.003199	2.4672e-06	7.4738e-05	0.006205	0.0079005	6.1784e-05	0.01	6.6187e-05	0.00049464	0.0053316	0.01	0.00018763	0.00075572	0.0013794	0.0093941	0.00027795	0.01	0.00028714	0.00073162	0.00020759	0.89936	
0.00069155	0.022206	0.0026956	2.0018e-06	7.3441e-05	0.0062051	0.0078993	6.0508e-05	0.01	6.291e-05	0.0004975	0.0053291	0.01	0.00018606	0.00075392	0.0013754	0.0093937	0.00027459	0.01	0.00028362	0.00072981	0.00020549	0.89954	
0.0006861	0.02222	0.0021218	2.0719e-06	7.2132e-05	0.0062052	0.0078981	5.9207e-05	0.01	5.9613e-05	0.00050032	0.0053265	0.01	0.00018448	0.00075211	0.0013713	0.0093934	0.0002712	0.01	0.00028009	0.000728	0.00020337	0.8997	
0.00068085	0.022235	0.0017331	2.1454e-06	7.0857e-05	0.0062055	0.0078969	5.7985e-05	0.01	5.6375e-05	0.00050326	0.005324	0.01	0.00018293	0.00075032	0.0013673	0.009393	0.00026788	0.01	0.0002766	0.0007262	0.00020131	0.89993	
0.00067581	0.02225	0.0014731	2.2229e-06	6.9617e-05	0.0062059	0.0078957	5.6838e-05	0.01	5.3196e-05	0.00050634	0.0053216	0.01	0.0001814	0.00074854	0.0013634	0.0093927	0.00026463	0.01	0.00027316	0.00072442	0.00019931	0.90021	
0.00067113	0.022266	0.0013074	2.3051e-06	6.8412e-05	0.0062065	0.0078945	5.5764e-05	0.01	5.0077e-05	0.00050955	0.0053192	0.01	0.00017989	0.00074676	0.0013595	0.0093923	0.00026146	0.01	0.00026977	0.00072267	0.00019737	0.90057	
0.00066639	0.022282	0.0011045	2.3751e-06	6.7194e-05	0.0062071	0.0078934	5.4667e-05	0.01	4.6935e-05	0.00051271	0.0053168	0.01	0.00017837	0.00074497	0.0013555	0.0093919	0.00025826	0.01	0.00026636	0.0007209	0.00019541	0.9009	
0.00066186	0.022299	0.00098526	2.4507e-06	6.6012e-05	0.0062078	0.0078922	5.3644e-05	0.01	4.3856e-05	0.00051602	0.0053144	0.01	0.00017688	0.00074321	0.0013516	0.0093916	0.00025513	0.01	0.000263	0.00071915	0.00019351	0.9013	
0.00065726	0.022315	0.00083199	2.5137e-06	6.4817e-05	0.0062085	0.0078911	5.2596e-05	0.01	4.0752e-05	0.00051928	0.0053121	0.01	0.00017538	0.00074143	0.0013477	0.0093912	0.00025198	0.01	0.00025962	0.0007174	0.00019158	0.90168	
0.00065258	0.022332	0.00064032	2.5641e-06	6.3607e-05	0.0062094	0.0078899	5.1519e-05	0.01	3.7622e-05	0.00052246	0.0053097	0.01	0.0001739	0.00073964	0.0013438	0.0093909	0.0002488	0.01	0.00025622	0.00071564	0.00018963	0.90203	
0.00063429	0.022349	0.00052331	2.6211e-06	6.2436e-05	0.0062105	0.0078888	5.0522e-05	0.01	3.4559e-05	0.00052582	0.0053073	0.01	0.00017245	0.00073788	0.0013399	0.0093905	0.00024569	0.01	0.00025287	0.00071389	0.00018775	0.90245	
0.0006158	0.022366	0.00037444	2.6654e-06	6.1252e-05	0.0062115	0.0078876	4.9498e-05	0.01	3.1471e-05	0.00052911	0.0053049	0.01	0.00017099	0.00073611	0.001336	0.0093902	0.00024256	0.01	0.0002495	0.00071214	0.00018584	0.90286	
0.00059696	0.022384	0.00028373	2.7165e-06	6.0105e-05	0.0062127	0.0078865	4.855e-05	0.01	2.8448e-05	0.00053257	0.0053026	0.01	0.00016956	0.00073432	0.0013321	0.0093898	0.00023951	0.01	0.00024618	0.00071042	0.000184	0.90333	
0.0005788	0.022403	0.00022798	2.7748e-06	5.8994e-05	0.0062141	0.0078854	4.7673e-05	0.01	2.549e-05	0.0005362	0.0053004	0.01	0.00016815	0.00073256	0.0013283	0.0093895	0.00023654	0.01	0.00024292	0.00070871	0.00018223	0.90389	
0.0005613	0.022423	0.00019644	2.8406e-06	5.792e-05	0.0062157	0.0078844	4.6863e-05	0.01	2.2595e-05	0.00054001	0.0052982	0.01	0.00016677	0.00073083	0.0013246	0.0093891	0.00023364	0.01	0.00023971	0.00070703	0.00018051	0.90452	
0.00054444	0.022443	0.00018374	2.9144e-06	5.688e-05	0.0062176	0.0078833	4.6117e-05	0.01	1.9762e-05	0.00054401	0.0052961	0.01	0.00016541	0.00072911	0.0013209	0.0093888	0.00023082	0.01	0.00023656	0.00070536	0.00017885	0.90522	
