Rhinolophus_ferrumequinum	Pteropus_vampyrus	Pteropus_alecto	Pipistrellus_kuhlii	Phyllostomus_discolor	Myotis_myotis	Myotis_lucifugus	Myotis_brandtii	Miniopterus_natalensis	Hipposideros_armiger	Eptesicus_fuscus	Desmodus_rotundus	Artibeus_jamaicensis	
0.00011644	0.073217	0.0047263	1.1987e-05	5.091e-05	0.0038286	0.01	0.0011634	2.4272e-05	2.8497e-05	0.00039352	9.0791e-05	8.0202e-05	
0.00011492	0.073273	0.0047241	1.1565e-05	4.9277e-05	0.0038252	0.01	0.0011601	2.1915e-05	2.7146e-05	0.00039163	8.8122e-05	7.9195e-05	
0.00011349	0.073331	0.004722	1.1187e-05	4.7709e-05	0.0038221	0.01	0.0011568	1.9747e-05	2.5876e-05	0.00038983	8.5607e-05	7.8232e-05	
0.00011202	0.073388	0.0047199	1.0792e-05	4.6114e-05	0.0038188	0.01	0.0011534	1.7504e-05	2.4573e-05	0.000388	8.303e-05	7.7251e-05	
0.00011051	0.073444	0.0047177	1.0378e-05	4.4489e-05	0.0038155	0.01	0.0011501	1.728e-05	2.3233e-05	0.00038612	8.0385e-05	7.625e-05	
0.00010896	0.0735	0.0047155	9.9446e-06	4.2833e-05	0.003812	0.01	0.0011467	1.7034e-05	2.1857e-05	0.0003842	7.7669e-05	7.5228e-05	
0.00010751	0.073558	0.0047134	9.6889e-06	4.1246e-05	0.003813	0.01	0.0011433	1.6826e-05	2.0566e-05	0.00037883	7.5115e-05	7.4253e-05	
0.00010605	0.073615	0.0047112	9.4196e-06	3.9657e-05	0.0038139	0.01	0.0011399	1.6613e-05	1.9274e-05	0.00037338	7.2557e-05	7.3276e-05	
0.00010459	0.073673	0.0047091	9.1807e-06	3.8067e-05	0.003815	0.01	0.0011365	1.6395e-05	1.798e-05	0.00036813	6.9996e-05	7.2298e-05	
0.00010313	0.07373	0.004707	8.9691e-06	3.6474e-05	0.0038164	0.01	0.0011332	1.6173e-05	1.6684e-05	0.00036306	6.7433e-05	7.1319e-05	
0.00010164	0.07379	0.0047051	8.7869e-06	3.4853e-05	0.0038177	0.01	0.0011298	1.593e-05	1.5353e-05	0.00035827	6.4803e-05	7.0321e-05	
0.00010023	0.073851	0.0047032	8.6267e-06	3.3297e-05	0.0038192	0.01	0.0011265	1.5722e-05	1.4103e-05	0.00035366	6.2327e-05	6.9368e-05	
9.8751e-05	0.073911	0.0047013	8.4574e-06	3.1713e-05	0.0038207	0.01	0.0011231	1.5494e-05	1.4006e-05	0.00034898	5.9788e-05	6.8395e-05	
9.7233e-05	0.073971	0.0046994	8.2785e-06	3.0102e-05	0.003822	0.01	0.0011198	1.5247e-05	1.3899e-05	0.00034424	5.7186e-05	6.7404e-05	
9.5676e-05	0.07403	0.0046974	8.09e-06	2.8463e-05	0.0038232	0.01	0.0011164	1.4979e-05	1.3782e-05	0.00033943	5.452e-05	6.6395e-05	
9.421e-05	0.074091	0.0046956	7.9229e-06	2.6887e-05	0.0038247	0.01	0.001113	1.4744e-05	1.368e-05	0.00033479	5.2001e-05	6.5427e-05	
9.2707e-05	0.074151	0.0046936	7.7466e-06	2.5284e-05	0.0038261	0.01	0.0011097	1.449e-05	1.3569e-05	0.00033008	4.9422e-05	6.4442e-05	
9.1293e-05	0.074213	0.0046919	7.5906e-06	2.3741e-05	0.0038277	0.01	0.0011063	1.4269e-05	1.3473e-05	0.00032553	4.6984e-05	6.3498e-05	
8.9843e-05	0.074274	0.00469	7.4262e-06	2.2174e-05	0.0038292	0.01	0.001103	1.4029e-05	1.3368e-05	0.00032093	4.4489e-05	6.2538e-05	
8.8357e-05	0.074335	0.0046881	7.2532e-06	2.0581e-05	0.0038306	0.01	0.0010996	1.377e-05	1.3253e-05	0.00031626	4.1936e-05	6.156e-05	
8.6834e-05	0.074396	0.0046862	7.0712e-06	1.8962e-05	0.003832	0.01	0.0010962	1.3493e-05	1.3129e-05	0.00031154	3.9324e-05	6.0564e-05	
8.527e-05	0.074455	0.0046842	6.9099e-06	1.7404e-05	0.0038335	0.01	0.0010928	1.3248e-05	1.2995e-05	0.00030697	3.6856e-05	5.961e-05	
8.3799e-05	0.074517	0.0046823	6.7677e-06	1.5907e-05	0.0038354	0.01	0.0010895	1.3035e-05	1.2876e-05	0.00030257	3.4526e-05	5.8698e-05	
8.2417e-05	0.07458	0.0046806	6.643e-06	1.4467e-05	0.0038374	0.01	0.0010862	1.2853e-05	1.2773e-05	0.00029832	3.2325e-05	5.7824e-05	
8.1119e-05	0.074644	0.004679	6.5346e-06	1.3083e-05	0.0038398	0.01	0.0010829	1.2699e-05	1.2686e-05	0.00029421	3.0248e-05	5.699e-05	
7.9785e-05	0.074708	0.0046773	6.4188e-06	1.1674e-05	0.003842	0.01	0.0010796	1.2526e-05	1.2588e-05	0.00029005	2.8116e-05	5.6137e-05	
7.8534e-05	0.074774	0.0046758	6.3189e-06	1.0319e-05	0.0038445	0.01	0.0010764	1.2382e-05	1.2506e-05	0.00028604	2.6105e-05	5.5323e-05	
7.7247e-05	0.074839	0.0046743	6.2117e-06	8.9408e-06	0.0038469	0.01	0.0010731	1.2221e-05	1.2414e-05	0.00028198	2.4042e-05	5.4493e-05	
7.5925e-05	0.074904	0.0046726	6.0965e-06	7.5368e-06	0.0038496	0.01	0.0010698	1.2848e-05	1.2312e-05	0.00027783	2.1925e-05	5.3645e-05	
7.4686e-05	0.074967	0.0046709	5.9973e-06	6.1887e-06	0.0038525	0.01	0.0010666	1.3536e-05	1.2226e-05	0.00027383	1.993e-05	5.2835e-05	
7.3411e-05	0.075031	0.0046692	5.8905e-06	6.0278e-06	0.0038553	0.01	0.0010633	1.4193e-05	1.213e-05	0.00026977	1.7881e-05	5.2007e-05	
7.2099e-05	0.075093	0.0046673	5.7761e-06	5.8744e-06	0.003858	0.01	0.0010601	1.4817e-05	1.2023e-05	0.00026565	1.5952e-05	5.1217e-05	
7.0869e-05	0.075157	0.0046656	5.6773e-06	5.7282e-06	0.003861	0.01	0.0010568	1.5503e-05	1.1932e-05	0.00026168	1.4134e-05	5.0463e-05	
6.9718e-05	0.075223	0.0046641	5.5929e-06	5.589e-06	0.0038643	0.01	0.0010536	1.6256e-05	1.1856e-05	0.00025785	1.2419e-05	4.9744e-05	
6.8642e-05	0.075291	0.0046627	5.5219e-06	5.4565e-06	0.0038678	0.01	0.0010505	1.7083e-05	1.1795e-05	0.00025417	1.0802e-05	4.9059e-05	
6.7637e-05	0.07536	0.0046615	5.4635e-06	5.3305e-06	0.0038716	0.01	0.0010473	1.799e-05	1.1749e-05	0.00025063	9.2766e-06	4.8407e-05	
6.6698e-05	0.075431	0.0046604	5.4169e-06	5.2106e-06	0.0038757	0.01	0.0010442	1.8984e-05	1.1717e-05	0.00024721	7.8367e-06	4.7785e-05	
6.5824e-05	0.075504	0.0046594	5.3814e-06	5.0968e-06	0.0038801	0.01	0.0010411	2.0072e-05	1.1698e-05	0.00024393	6.4773e-06	4.7194e-05	
6.4921e-05	0.075576	0.0046584	5.3426e-06	4.9758e-06	0.0038843	0.01	0.001038	2.1115e-05	1.1671e-05	0.00024059	6.3496e-06	4.6587e-05	
6.3988e-05	0.075648	0.0046574	5.2981e-06	4.8477e-06	0.0038885	0.01	0.0010348	2.2115e-05	1.1634e-05	0.00023719	6.2091e-06	4.5967e-05	
6.3118e-05	0.075721	0.0046564	5.2645e-06	4.7255e-06	0.0038929	0.01	0.0010317	2.3209e-05	1.1611e-05	0.00023392	6.0808e-06	4.5376e-05	
6.222e-05	0.075794	0.0046555	5.2255e-06	4.5965e-06	0.0038972	0.01	0.0010286	2.4261e-05	1.1578e-05	0.0002306	5.94e-06	4.4771e-05	
6.1383e-05	0.075869	0.0046546	5.1972e-06	4.4731e-06	0.0039018	0.01	0.0010255	2.5411e-05	1.156e-05	0.0002274	5.8111e-06	4.4196e-05	
6.0543e-05	0.075943	0.0046537	5.1635e-06	4.343e-06	0.0039063	0.01	0.0010224	2.6517e-05	1.1539e-05	0.00022415	5.6699e-06	4.3607e-05	
5.9701e-05	0.075921	0.0046532	5.1403e-06	4.2184e-06	0.003911	0.01	0.0010193	2.7728e-05	1.1515e-05	0.00022103	5.5402e-06	4.3046e-05	
5.8857e-05	0.075899	0.0046527	5.1119e-06	4.0871e-06	0.0039157	0.01	0.0010162	2.8892e-05	1.1489e-05	0.00021785	5.3983e-06	4.2472e-05	
5.8069e-05	0.075878	0.0046523	5.0936e-06	3.9612e-06	0.0039206	0.01	0.0010131	3.0166e-05	1.1476e-05	0.00021479	5.2677e-06	4.1925e-05	
5.7337e-05	0.075859	0.004652	5.0854e-06	3.8406e-06	0.0039258	0.01	0.0010101	3.156e-05	1.1477e-05	0.00021185	5.1478e-06	4.1406e-05	
5.658e-05	0.075839	0.0046517	5.072e-06	3.7133e-06	0.0039309	0.01	0.001007	3.2902e-05	1.1469e-05	0.00020886	5.016e-06	4.0873e-05	
5.5877e-05	0.075818	0.0046513	5.0688e-06	3.5911e-06	0.0039363	0.01	0.001004	3.3168e-05	1.1475e-05	0.00020598	4.8948e-06	4.0367e-05	
5.5149e-05	0.075798	0.0046508	5.0603e-06	3.4622e-06	0.0039416	0.01	0.001001	3.3407e-05	1.1472e-05	0.00020306	4.7615e-06	3.9848e-05	
5.4371e-05	0.075778	0.0046505	5.0616e-06	3.3383e-06	0.0039472	0.01	0.00099792	3.3698e-05	1.1452e-05	0.00020024	4.6385e-06	3.9355e-05	
5.3646e-05	0.07576	0.0046504	5.0729e-06	3.219e-06	0.003953	0.01	0.00099492	3.4042e-05	1.1447e-05	0.00019753	4.5252e-06	3.8886e-05	
5.2898e-05	0.075741	0.0046501	5.0791e-06	3.0934e-06	0.0039588	0.01	0.00099191	3.4358e-05	1.1432e-05	0.00019478	4.4004e-06	3.8405e-05	
5.2201e-05	0.075723	0.00465	5.0952e-06	2.9722e-06	0.0039649	0.01	0.00098892	3.473e-05	1.1431e-05	0.00019213	4.285e-06	3.7949e-05	
5.1481e-05	0.075705	0.0046499	5.1063e-06	2.8448e-06	0.0039708	0.01	0.00098591	3.5073e-05	1.1421e-05	0.00018944	4.1582e-06	3.748e-05	
