Theropithecus_gelada	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Homo_sapiens	Gorilla_gorilla	Colobus_angolensis	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_imitator	Callithrix_jacchus	Aotus_nancymaae	
6.9465e-06	1.2615e-05	0.026313	1.5314e-05	9.4307e-07	0.00012945	1.0889e-06	0.01	0.01	1.677e-06	0.00050344	5.9299e-07	0.0087462	0.0068629	0.0090457	0.0030105	0.0051443	0.00038933	3.2589e-05	0.0001887	2.79e-05	
6.7951e-06	1.1903e-05	0.026359	9.824e-06	7.1153e-07	0.00012193	9.506e-07	0.01	0.01	1.4772e-06	0.00049922	4.4014e-07	0.0087454	0.0068612	0.0090363	0.0030121	0.0051426	0.00038605	3.1783e-05	0.00018677	2.6933e-05	
7.1024e-06	1.1397e-05	0.026407	6.3284e-06	7.1856e-07	0.0001148	9.8466e-07	0.01	0.01	1.5057e-06	0.00049498	4.4555e-07	0.0087446	0.0068595	0.0090269	0.0030139	0.005141	0.00038263	3.1246e-05	0.00018535	2.631e-05	
7.3678e-06	1.082e-05	0.026454	2.3651e-06	7.0977e-07	0.00011342	1.0045e-06	0.01	0.01	1.5262e-06	0.00049071	4.4054e-07	0.0087437	0.0068578	0.0090174	0.003014	0.0051393	0.00037917	3.0616e-05	0.00018375	2.5572e-05	
7.6306e-06	1.0242e-05	0.026478	1.3487e-06	6.1304e-07	0.00011204	1.0221e-06	0.01	0.01	1.4332e-06	0.00048649	3.7934e-07	0.0087429	0.0068561	0.009008	0.0030141	0.0051376	0.00037578	2.9985e-05	0.00017879	2.5176e-05	
7.8909e-06	8.9335e-06	0.0265	1.2295e-06	4.9131e-07	0.00011065	1.0376e-06	0.01	0.01	1.3303e-06	0.00048225	3.018e-07	0.0087421	0.0068544	0.0089985	0.0030142	0.005136	0.00037236	2.9757e-05	0.00017622	2.4173e-05	
8.1487e-06	8.2043e-06	0.026523	1.1759e-06	4.4848e-07	0.00010925	1.0509e-06	0.01	0.01	1.2556e-06	0.00047805	2.7548e-07	0.0087413	0.0068528	0.0089891	0.0030143	0.0051343	0.000369	2.8989e-05	0.00016897	2.3616e-05	
8.4039e-06	7.9285e-06	0.026546	1.4325e-06	3.8034e-07	0.00010785	1.062e-06	0.01	0.01	1.1684e-06	0.00047382	2.3267e-07	0.0087405	0.0068511	0.0089796	0.0030144	0.0051326	0.00036561	2.8768e-05	0.0001571	2.3627e-05	
8.6566e-06	7.7902e-06	0.026569	1.6509e-06	2.9292e-07	0.00010644	1.0709e-06	0.01	0.01	1.0719e-06	0.00046958	1.7728e-07	0.0087397	0.0068494	0.0089701	0.0030145	0.005131	0.0003622	2.8757e-05	0.00015309	2.3432e-05	
8.9068e-06	7.3402e-06	0.026606	1.6966e-06	3.2277e-07	0.00010503	1.0777e-06	0.01	0.01	1.1455e-06	0.00046531	1.9666e-07	0.0087388	0.0068477	0.0089606	0.0030146	0.0051293	0.00035875	2.8942e-05	0.0001505	2.3445e-05	
9.3804e-06	7.1581e-06	0.026645	1.8126e-06	4.1141e-07	0.00010372	1.1445e-06	0.01	0.01	1.2458e-06	0.00046108	2.5505e-07	0.008738	0.006846	0.0089511	0.0030149	0.0051276	0.00035537	2.8843e-05	0.00014486	2.3163e-05	
9.7955e-06	6.9432e-06	0.026683	1.8971e-06	4.8043e-07	0.00010236	1.1848e-06	0.01	0.01	1.3366e-06	0.00045683	3.0032e-07	0.0087372	0.0068443	0.0089415	0.0030151	0.0051259	0.00035195	2.8692e-05	0.00013869	2.281e-05	
