Trachypithecus_francoisi	Theropithecus_gelada	Sapajus_apella	Saimiri_boliviensis	Rhinopithecus_roxellana	Rhinopithecus_bieti	Propithecus_coquereli	Prolemur_simus	Pongo_abelii	Piliocolobus_tephrosceles	Papio_anubis	Pan_troglodytes	Pan_paniscus	Otolemur_garnettii	Nomascus_leucogenys	Microcebus_murinus	Mandrillus_leucophaeus	Macaca_nemestrina	Macaca_mulatta	Macaca_fascicularis	Hylobates_moloch	Homo_sapiens	Gorilla_gorilla	Colobus_angolensis	Chlorocebus_sabaeus	Cercocebus_atys	Cebus_imitator	Carlito_syrichta	Callithrix_jacchus	Aotus_nancymaae	
0.00076562	0.00042433	0.00044744	6.0624e-05	0.0010928	0.0090234	0.00040693	0.00010625	0.0013024	0.004391	0.0015639	0.0099885	0.0099885	8.5974e-05	0.00048303	3.6344e-05	0.002859	0.015173	0.01	0.01	0.0013271	0.00080468	0.0024046	0.0085254	0.00014431	0.0011502	0.00069043	0.00010339	0.00026447	0.00069484	
0.00076125	0.00042165	0.00044399	5.9127e-05	0.0010896	0.0090227	0.00039304	0.00010473	0.0013001	0.0043877	0.0015583	0.0099885	0.0099885	8.5102e-05	0.00048099	3.3852e-05	0.0028558	0.015179	0.01	0.01	0.0013223	0.0008021	0.0023914	0.0085245	0.00014125	0.0011466	0.00068696	0.0001007	0.00025945	0.00069291	
0.00075691	0.00041899	0.00044053	5.7628e-05	0.0010865	0.0090221	0.00038015	0.00010333	0.0012978	0.0043845	0.0015527	0.0099885	0.0099885	8.4371e-05	0.00047898	3.1541e-05	0.0028528	0.015186	0.01	0.01	0.0013175	0.00079958	0.0023782	0.0085235	0.00013827	0.0011431	0.00068349	9.7999e-05	0.00025441	0.00069098	
0.00075256	0.00041633	0.00043708	5.6128e-05	0.0010834	0.0090215	0.00036701	0.00010189	0.0012955	0.0043812	0.0015471	0.0099885	0.0099885	8.3608e-05	0.00047697	2.9187e-05	0.0028497	0.015192	0.01	0.01	0.0013127	0.00079704	0.002365	0.0085225	0.00013527	0.0011395	0.00068002	9.53e-05	0.00024938	0.00068904	
0.00074825	0.00041369	0.00043362	5.4626e-05	0.0010803	0.0090208	0.00035489	0.00010057	0.0012933	0.004378	0.0015416	0.0099885	0.0099885	8.2982e-05	0.00047498	2.7014e-05	0.0028468	0.015199	0.01	0.01	0.001308	0.00079456	0.002352	0.0085216	0.00013234	0.0011359	0.00067654	9.2597e-05	0.00024433	0.0006871	
0.00074398	0.00041106	0.00043015	5.3123e-05	0.0010773	0.0090202	0.00034363	9.9357e-05	0.0012912	0.0043748	0.0015362	0.0099885	0.0099885	7.9413e-05	0.00047303	2.4997e-05	0.0028439	0.015205	0.01	0.01	0.0013032	0.00079215	0.002339	0.0085206	0.00012949	0.0011323	0.00067306	8.9892e-05	0.00023929	0.00068517	
0.00073969	0.00040843	0.00042668	5.1618e-05	0.0010742	0.0090196	0.00033217	9.8115e-05	0.001289	0.0043716	0.0015307	0.0099885	0.0099885	7.5733e-05	0.00047107	2.2943e-05	0.0028409	0.015212	0.01	0.01	0.0012985	0.00078971	0.002326	0.0085197	0.00012662	0.0011288	0.00066958	8.7184e-05	0.00023423	0.00068323	
0.00073544	0.00040582	0.00042321	5.0112e-05	0.0010711	0.0090189	0.00032152	9.697e-05	0.0012869	0.0043685	0.0015252	0.0099885	0.0099885	7.2535e-05	0.00046914	2.1035e-05	0.0028381	0.015218	0.01	0.01	0.0012937	0.00078733	0.0023131	0.0085188	0.00012382	0.0011252	0.00066609	8.4473e-05	0.00022918	0.00068128	
0.00073118	0.00040321	0.00041974	4.8604e-05	0.001068	0.0090183	0.00031068	9.5801e-05	0.0012848	0.0043653	0.0015198	0.0099885	0.0099885	6.9238e-05	0.0004672	1.9091e-05	0.0028353	0.015225	0.01	0.01	0.001289	0.00078494	0.0023002	0.0085178	0.00012099	0.0011217	0.0006626	8.176e-05	0.00022411	0.00067934	
0.0007269	0.00040058	0.00041626	4.7095e-05	0.001065	0.0090177	0.00029963	9.4609e-05	0.0012826	0.0043621	0.0015143	0.0099884	0.0099884	6.5837e-05	0.00046525	1.7111e-05	0.0028324	0.015232	0.01	0.01	0.0012843	0.00078253	0.0022872	0.0085169	0.00011815	0.0011181	0.0006591	7.9044e-05	0.00021905	0.00067739	
