exon1b	primates1b	carnivore	rodents	afrotheria	alligator	artiyodactyla	birds	caniformia	chiroptera	reptiles	perissodactyla	turtle	monotremata
exon1b	48	49.41176471	43.52941176	41.17647059	35.10638298	56.47058824	45.74468085	49.41176471	47.05882353	40.42553191	50.58823529	41.4893617	44.68085106
exon1b	48	49.41176471	45.88235294	41.17647059	35.10638298	55.29411765	41.4893617	49.41176471	44.70588235	43.61702128	48.23529412	41.4893617	
exon1b	50	49.41176471	48.23529412	41.17647059	32.9787234	56.47058824	42.55319149	45.88235294	46.59090909	32.95454545	49.41176471	40.42553191	
exon1b	49	49.41176471	49.41176471	45.88235294	37.23404255	56.47058824	41.4893617	70.58823529	49.41176471	34.09090909	49.41176471	42.55319149	
exon1b	51	49.41176471	49.41176471	50.58823529		56.47058824	43.61702128	49.41176471	47.05882353	41.4893617		41.4893617	
exon1b	50	49.41176471	50.58823529			57.64705882	44.68085106	49.36708861	47.72727273	32.95454545		40.42553191	
exon1b	50	49.41176471	55.29411765			60	46.80851064	71.76470588	47.72727273	42.04545455			
exon1b	51	49.41176471	40.22988506			60	45.74468085	48.10126582	46.59090909	32.95454545			
exon1b	48	49.41176471	49.41176471			60	41.4893617	65.88235294	44.70588235	44.68085106			
exon1b	50	45.88235294	49.41176471			55.29411765	41.4893617	48.10126582	46.59090909				
exon1b	51	70.58823529	50.58823529			55.29411765	44.68085106	67.05882353	47.05882353				
exon1b	50	49.41176471	45.88235294			56.47058824	45.74468085	52.94117647	48.23529412				
exon1b	50	49.36708861	51.19047619			56.47058824	43.61702128	49.41176471	50				
exon1b	49	71.76470588	43.02325581			54.11764706	43.61702128	48.23529412					
exon1b	50	48.10126582	40.90909091			55.29411765	46.80851064	54.11764706					
exon1b	52	65.88235294	55.29411765			56.47058824	44.68085106	54.11764706					
exon1b	51.54639175	48.10126582	48.23529412			56.47058824	50	54.11764706					
exon1b	48	67.05882353	47.61904762			56.47058824	40.42553191	51.76470588					
exon1b	50	52.94117647	43.52941176			56.47058824	43.61702128	47.05882353					
exon1b	50	49.41176471	41.86046512			56.47058824	47.87234043	49.41176471					
exon1b	40	48.23529412	43.02325581			54.11764706	46.80851064						
exon1b	50	54.11764706				52.94117647	40.42553191						
exon1b	41.17647059	54.11764706				56.47058824	43.61702128						
exon1b	42.35294118	54.11764706				57.64705882	44.68085106						
exon1b	45.88235294	51.76470588					46.80851064						
exon1b	47.42268041	47.05882353					43.61702128						
exon1b	48.7804878	50					43.61702128						
exon1b							47.87234043						
exon1b							44.68085106						
exon1b							45.74468085						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							45.74468085						
exon1b							45.74468085						
exon1b							43.61702128						
exon1b							45.74468085						
exon1b							43.61702128						
exon1b							41.4893617						
exon1b							43.61702128						
exon1b							42.55319149						
exon1b							47.87234043						
exon1b							45.74468085						
exon1b							46.80851064						
exon1b							46.80851064						
exon1b							43.61702128						
exon1b							44.68085106						
exon1b							48.93617021						
exon1b							47.87234043						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							43.61702128						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							47.87234043						
exon1b							43.61702128						
exon1b							47.87234043						
exon1b							44.68085106						
exon1b							46.80851064						
exon1b							45.74468085						
exon1b							45.74468085						
exon1b							45.74468085						
exon1b							43.61702128						
exon1b							44.68085106						
exon1b							44.68085106						
exon1b							46.80851064						
exon1b							46.80851064						
exon1b							40.42553191						
exon1b							42.55319149						
exon1b							43.61702128						
exon1b							50						
exon1b							44.68085106						
exon1b							45.74468085						
exon1b							45.74468085						
exon1b							45.74468085						
exon1b							40.42553191						
exon1b							48.93617021						
exon1b							48.93617021						
exon1b							44.68085106						
exon1b							46.80851064						
exon1b							41.4893617						
exon1b							39.36170213						
exon1b							45.74468085						
exon1b							47.87234043						
exon1b							42.55319149						
exon1b							44.68085106						
exon1b							48.93617021						
exon1b							41.4893617						
exon1b							40.42553191						
exon1b							42.55319149						
exon1b							38.1443299						
exon1b							38.29787234						
exon1b							40.42553191						
exon1b							44.68085106						
exon1b							42.55319149						
exon1b							41.93548387						
exon1b							40.42553191						
exon1b							44.68085106						
exon1b							41.4893617						
