Pygoscelis_adeliae	Phalacrocorax_carbo	Phaethon_lepturus	Pelecanus_crispus	Nipponia_nippon	Haliaeetus_leucocephalus	Gavia_stellata	Fulmarus_glacialis	Falco_peregrinus	Falco_cherrug	Egretta_garzetta	Charadrius_vociferus	Calidris_pugnax	Buteo_japonicus	Aquila_chrysaetos_chrysaetos	Aptenodytes_forsteri	
0.00065647	2.3401e-05	1.6402e-05	0.00080137	0.0027403	0.00064572	0.00016284	0.00012836	0.01	0.01	0.00010355	2.4636e-05	0.00012914	0.00028579	0.00016396	0.0018417	
0.00064977	2.1549e-05	1.5768e-05	0.00080063	0.002715	0.00064346	0.00016199	0.00012357	0.01	0.01	0.0001004	2.4056e-05	0.00012695	0.00028346	0.00016242	0.0018337	
0.00064321	1.9828e-05	1.518e-05	0.00080005	0.0026909	0.00064122	0.00016125	0.00011906	0.01	0.01	9.7412e-05	2.3516e-05	0.00012521	0.00028117	0.00016092	0.0018259	
0.00063661	1.8073e-05	1.458e-05	0.00079942	0.0026665	0.00063897	0.00016048	0.00011447	0.01	0.01	9.4382e-05	2.2967e-05	0.00012337	0.00027887	0.00015942	0.001818	
0.00062996	1.6288e-05	1.397e-05	0.00079877	0.0026417	0.00063671	0.00015969	0.00010983	0.01	0.01	9.1314e-05	2.2407e-05	0.00012143	0.00027656	0.0001579	0.00181	
0.00062329	1.4474e-05	1.335e-05	0.00079808	0.0026167	0.00063445	0.00015888	0.00010511	0.01	0.01	8.8206e-05	2.1839e-05	0.00011939	0.00027424	0.00015637	0.001802	
0.00061675	1.2793e-05	1.2776e-05	0.00079754	0.002593	0.00063221	0.00015818	0.00010069	0.01	0.01	8.527e-05	2.1312e-05	0.00011779	0.00027195	0.00015489	0.0017942	
0.00061018	1.1079e-05	1.2191e-05	0.00079697	0.0025688	0.00062996	0.00015745	9.6192e-05	0.01	0.01	8.2291e-05	2.0776e-05	0.00011609	0.00026965	0.00015339	0.0017863	
0.00060357	9.3368e-06	1.1596e-05	0.00079637	0.0025445	0.0006277	0.00015669	9.1632e-05	0.01	0.01	7.9274e-05	2.023e-05	0.00011431	0.00026734	0.00015189	0.0017784	
0.00059709	7.7149e-06	1.1043e-05	0.00079591	0.0025212	0.00062547	0.00015604	8.7336e-05	0.01	0.01	7.6415e-05	1.9722e-05	0.0001129	0.00026507	0.00015042	0.0017707	
0.00059075	6.205e-06	1.053e-05	0.00078911	0.002499	0.00062325	0.00015549	8.3289e-05	0.01	0.01	7.3708e-05	1.9251e-05	0.00011182	0.00026283	0.00014901	0.001763	
0.00058437	4.6692e-06	1.0008e-05	0.00078223	0.0024766	0.00062103	0.00015491	7.9183e-05	0.01	0.01	7.0964e-05	1.8771e-05	0.00011067	0.00026058	0.00014758	0.0017554	
0.00057813	3.2392e-06	9.524e-06	0.00077578	0.0024552	0.00061883	0.00015442	7.5316e-05	0.01	0.01	6.8366e-05	1.8325e-05	0.0001098	0.00025837	0.00014619	0.0017479	
0.00057184	3.1288e-06	9.0309e-06	0.00076925	0.0024336	0.00061662	0.00015391	7.1392e-05	0.01	0.01	6.5732e-05	1.7871e-05	0.00010888	0.00025614	0.0001448	0.0017403	
0.00056569	3.0284e-06	8.5732e-06	0.00076312	0.002413	0.00061443	0.00015349	6.7695e-05	0.01	0.01	6.3238e-05	1.745e-05	0.00010822	0.00025395	0.00014344	0.0017329	
0.00055968	2.9382e-06	8.1501e-06	0.0007574	0.0023934	0.00061226	0.00015317	6.4223e-05	0.01	0.01	6.0882e-05	1.706e-05	0.0001078	0.00025179	0.00014213	0.0017257	
0.00055379	2.8574e-06	7.7592e-06	0.00075206	0.0023748	0.00061012	0.00015293	6.0962e-05	0.01	0.01	5.8656e-05	1.6701e-05	0.00010762	0.00024967	0.00014086	0.0017186	
0.00054787	2.7698e-06	7.3599e-06	0.00074664	0.002356	0.00060796	0.00015267	5.7645e-05	0.01	0.01	5.6396e-05	1.6333e-05	0.00010738	0.00024753	0.00013958	0.0017115	
