Zonotrichia_albicollis	Tyto_alba_alba	Tympanuchus_cupido	Tauraco_erythrolophus	Taeniopygia_guttata	Syrmaticus_mikado	Sturnus_vulgaris	Struthio_camelus_australis	Stachyridopsis_ruficeps	Serinus_canaria	Rhynochetus_jubatus	Rhea_americana	Pygoscelis_adeliae	Pterocles_gutturalis	Pseudopodoces_humilis	Pipra_filicauda	Picoides_pubescens	Phasianus_colchicus	Phalacrocorax_carbo	Phaethon_lepturus	Penelope_pileata	Pelecanus_crispus	Pavo_cristatus	Passer_domesticus	Parus_major	Oxyura_jamaicensis	Oriolus_oriolus	Opisthocomus_hoazin	Odontophorus_gujanensis	Numida_meleagris	Nothoprocta_perdicaria	Nipponia_nippon	Nestor_notabilis	Neopelma_chrysocephalum	Molothrus_ater	Mesitornis_unicolor	Merops_nubicus	Melopsittacus_undulatus	Meleagris_gallopavo	Manacus_vitellinus	Malurus_cyaneus	Lyrurus_tetrix	Lonchura_Striata_domestica	Leptosomus_discolor	Lepidothrix_coronata	Lagopus_muta	Haliaeetus_leucocephalus	Geospiza_fortis	Gavia_stellata	Gallus_gallus	Fulmarus_glacialis	Ficedula_albicollis	Falco_peregrinus	Falco_cherrug	Eurypyga_helias	Erythrura_gouldiae	Empidonax_traillii	Egretta_garzetta	Dromaius_novaehollandiae	Cygnus_atratus	Cyanistes_caeruleus	Cuculus_canorus	Coturnix_japonica	Corythaeola_cristata	Corvus_moneduloides	Corvus_brachyrhynchos	Corapipo_altera	Columba_livia	Colius_striatus	Colinus_virginianus	Chrysolophus_pictus	Chlamydotis_macqueenii	Chiroxiphia_lanceolata	Charadrius_vociferus	Chaetura_pelagica	Centrocercus_minimus	Catharus_ustulatus	Casuarius_casuarius	Cariama_cristata	Camarhynchus_parvulus	Calypte_anna	Callipepla_squamata	Calidris_pugnax	Buteo_japonicus	Buceros_rhinoceros	Balearica_regulorum_gibbericeps	Aythya_fuligula	Athene_cunicularia	Aquila_chrysaetos_chrysaetos	Apteryx_rowi	Apteryx_australis_mantelli	Aptenodytes_forsteri	Apaloderma_vittatum	Antrostomus_carolinensis	Anser_cygnoides	Anseranas_semipalmata	Anas_platyrhynchos	Alectura_lathami	Acanthisitta_chloris	
0.00079555	0.0089923	4.8958e-05	0.00018321	0.00011812	0.00022514	1.32e-05	0.00030304	0.00010948	0.00010429	0.88785	1.5162e-05	0.001872	2.1527e-05	0.00027795	0.022681	0.0015286	0.00010473	4.0072e-05	2.1287e-05	0.00018805	0.00085957	0.00015471	3.6465e-05	0.00046215	0.00058402	0.0015693	0.00030543	0.00011254	2.3328e-05	0.97277	0.0058	0.000134	0.00010091	9.6762e-05	1.0199e-05	0.0038494	7.471e-05	6.9097e-06	0.00095453	1.1593e-05	3.5298e-05	8.4986e-05	0.00017266	0.01	0.028425	0.00094378	0.01	0.00062394	1.7554e-05	0.00044805	0.68384	0.01	0.01	0.00060363	0.044234	0.00065255	0.0002259	0.00037302	0.007679	0.0089275	4.7994e-06	8.6514e-07	0.00018526	0.012803	0.01773	0.00071304	0.0003195	1.4391e-05	0.00010394	0.00029325	4.06e-05	0.0002554	5.5315e-05	0.0001432	4.6283e-05	2.6802e-05	0.0093712	3.2026e-05	0.01	0.00012224	0.00018724	0.013477	0.00038318	0.0017045	3.2767e-06	0.0024528	8.308e-05	0.00029481	0.0045179	0.0045179	0.0021535	7.1323e-05	2.2738e-05	0.00077327	8.8753e-06	5.2292e-05	0.072792	8.9033e-05	
0.00079415	0.0089644	4.8263e-05	0.00018212	0.00011672	0.00021878	1.2377e-05	0.00030083	0.00010536	0.00010311	0.88838	1.4564e-05	0.0018626	2.0453e-05	0.0002763	0.022685	0.0015254	0.00010411	3.7137e-05	2.0564e-05	0.00018176	0.00085897	0.00015013	3.5733e-05	0.0004575	0.00058242	0.0015454	0.00029543	0.00010963	2.2866e-05	0.97374	0.0057787	0.00013297	9.877e-05	9.5545e-05	9.728e-06	0.0038374	7.2666e-05	6.4781e-06	0.00095157	1.1167e-05	3.1991e-05	8.2527e-05	0.00016602	0.01	0.028432	0.00094128	0.01	0.00062301	1.6932e-05	0.00043839	0.68302	0.01	0.01	0.00059927	0.044258	0.00064551	0.00022021	0.00037159	0.0076734	0.0089268	4.4513e-06	6.4287e-07	0.00018144	0.012807	0.017737	0.00070873	0.00030774	1.3607e-05	0.00010199	0.00028796	3.8994e-05	0.00025152	5.4581e-05	0.00013706	4.5441e-05	2.6032e-05	0.0093707	3.1163e-05	0.01	0.00012007	0.00018477	0.013478	0.00038052	0.0016875	3.0837e-06	0.0024495	8.1135e-05	0.000293	0.0045148	0.0045148	0.002145	7.0513e-05	2.1879e-05	0.00076949	8.482e-06	5.0655e-05	0.070249	8.8185e-05	
0.00079285	0.0089393	4.7588e-05	0.00018114	0.00011537	0.00021274	1.1607e-05	0.00029877	0.00010157	0.00010201	0.88902	1.4011e-05	0.0018533	1.9496e-05	0.00027468	0.022689	0.0015234	0.00010354	3.4351e-05	1.9883e-05	0.00017586	0.00085848	0.0001459	3.5042e-05	0.00045289	0.00058092	0.0015224	0.00028629	0.00010689	2.2472e-05	0.97507	0.0057584	0.00013202	9.6697e-05	9.437e-05	9.306e-06	0.0038271	7.0672e-05	6.1117e-06	0.00094863	1.0774e-05	2.8837e-05	8.011e-05	0.00015993	0.01	0.028441	0.00093879	0.01	0.00062225	1.6344e-05	0.00042913	0.6823	0.01	0.01	0.00059521	0.044284	0.00063872	0.00021476	0.00037021	0.0076681	0.0089261	4.1546e-06	4.5496e-07	0.00017775	0.012811	0.017744	0.00070456	0.00029692	1.2975e-05	0.00010008	0.00028292	3.7495e-05	0.00024767	5.3884e-05	0.00013163	4.4621e-05	2.5314e-05	0.0093704	3.0393e-05	0.01	0.00011806	0.00018234	0.013483	0.00037788	0.0016728	2.9091e-06	0.0024463	7.9311e-05	0.00029123	0.0045117	0.0045117	0.0021367	6.9782e-05	2.1086e-05	0.00076576	8.1108e-06	4.9041e-05	0.067928	8.7419e-05	
0.00079152	0.0089135	4.6907e-05	0.00018014	0.000114	0.00020662	1.0823e-05	0.00029666	9.7687e-05	0.0001009	0.88963	1.3447e-05	0.001844	1.851e-05	0.00027305	0.022693	0.001521	0.00010296	3.1525e-05	1.919e-05	0.00016987	0.00085796	0.00014158	3.4339e-05	0.00044827	0.0005794	0.0014992	0.00027692	0.00010411	2.2061e-05	0.97632	0.0057378	0.00013105	9.4606e-05	9.3183e-05	8.872e-06	0.0038164	6.8664e-05	5.7297e-06	0.00094568	1.0373e-05	2.5642e-05	7.7679e-05	0.0001537	0.01	0.028449	0.0009363	0.01	0.00062145	1.5747e-05	0.00041977	0.68156	0.01	0.01	0.00059107	0.044309	0.00063186	0.00020924	0.00036882	0.0076626	0.0089254	3.8456e-06	2.5888e-07	0.00017403	0.012815	0.017751	0.00070035	0.00028587	1.2307e-05	9.8158e-05	0.00027781	3.5969e-05	0.0002438	5.3177e-05	0.00012602	4.3795e-05	2.4582e-05	0.00937	2.96e-05	0.01	0.00011602	0.0001799	0.013488	0.00037524	0.0016575	2.7299e-06	0.002443	7.7456e-05	0.00028944	0.0045086	0.0045086	0.0021284	6.9031e-05	2.0276e-05	0.00076201	7.7338e-06	4.742e-05	0.065542	8.6632e-05	
0.00079016	0.0088871	4.6221e-05	0.00017911	0.00011262	0.00020041	1.0026e-05	0.00029452	9.3732e-05	9.9761e-05	0.89022	1.2872e-05	0.0018346	1.7497e-05	0.00027142	0.022698	0.0015184	0.00010237	2.8664e-05	1.8488e-05	0.00016377	0.00085741	0.00013718	3.3628e-05	0.00044363	0.00057785	0.0014757	0.00026737	0.0001013	2.1635e-05	0.9775	0.005717	0.00013006	9.2497e-05	9.1985e-05	8.4268e-06	0.0038053	6.6642e-05	5.3333e-06	0.00094273	9.9639e-06	2.2409e-05	7.5236e-05	0.00014735	0.01	0.028457	0.0009338	0.01	0.00062061	1.5142e-05	0.0004103	0.68078	0.01	0.01	0.00058686	0.044335	0.00062494	0.00020366	0.00036742	0.0076571	0.0089247	3.5298e-06	2.4221e-07	0.00017027	0.012819	0.017758	0.00069611	0.00027459	1.1607e-05	9.6225e-05	0.00027264	3.4417e-05	0.00023993	5.2461e-05	0.00012025	4.2963e-05	2.3838e-05	0.0093696	2.8786e-05	0.01	0.00011393	0.00017745	0.013491	0.00037258	0.0016417	2.5464e-06	0.0024398	7.5572e-05	0.00028765	0.0045056	0.0045056	0.0021199	6.8262e-05	1.9451e-05	0.00075825	7.3514e-06	4.5791e-05	0.063095	8.5826e-05	
0.00078879	0.0088599	4.553e-05	0.00017805	0.00011123	0.00019413	9.2175e-06	0.00029235	8.9701e-05	9.8606e-05	0.8908	1.2286e-05	0.0018252	1.6458e-05	0.00026977	0.022702	0.0015156	0.00010177	2.5765e-05	1.7776e-05	0.00015759	0.00085685	0.00013269	3.2906e-05	0.00043897	0.00057628	0.001452	0.00025761	9.8453e-05	2.1194e-05	0.97861	0.0056959	0.00012905	9.0371e-05	9.0776e-05	7.9705e-06	0.0037938	6.4606e-05	4.9219e-06	0.00093976	9.5471e-06	1.9138e-05	7.2782e-05	0.00014086	0.01	0.028465	0.00093129	0.01	0.00061974	1.4528e-05	0.00040074	0.67997	0.01	0.01	0.00058258	0.04436	0.00061795	0.00019803	0.00036599	0.0076516	0.0089241	3.2024e-06	2.2417e-07	0.00016647	0.012823	0.017765	0.00069183	0.00026309	1.0872e-05	9.428e-05	0.00026741	3.284e-05	0.00023604	5.1736e-05	0.00011432	4.2125e-05	2.3081e-05	0.0093692	2.795e-05	0.01	0.00011181	0.00017498	0.013494	0.00036991	0.0016253	2.3587e-06	0.0024365	7.3659e-05	0.00028584	0.0045025	0.0045025	0.0021115	6.7475e-05	1.861e-05	0.00075447	6.9638e-06	4.4156e-05	0.060585	8.5001e-05	
0.00078751	0.0088358	4.4859e-05	0.00017711	0.00010988	0.00018818	8.4617e-06	0.00029033	8.5998e-05	9.7535e-05	0.89147	1.175e-05	0.001816	1.5536e-05	0.00026816	0.022706	0.0015139	0.00010122	2.3021e-05	1.7106e-05	0.0001518	0.00085639	0.00012857	3.2226e-05	0.00043436	0.00057482	0.0014293	0.00024872	9.578e-05	2.082e-05	0.98009	0.0056758	0.00012813	8.8313e-05	8.9611e-05	7.563e-06	0.0037841	6.2623e-05	4.575e-06	0.00093682	9.1642e-06	1.6025e-05	7.037e-05	0.00013493	0.01	0.028474	0.0009288	0.01	0.00061903	1.395e-05	0.00039159	0.67927	0.01	0.01	0.00057861	0.044386	0.00061122	0.00019263	0.00036464	0.0076463	0.0089234	2.9251e-06	2.0958e-07	0.00016282	0.012827	0.017772	0.00068769	0.00025256	1.0285e-05	9.2381e-05	0.00026243	3.1372e-05	0.00023219	5.1049e-05	0.0001091	4.131e-05	2.2377e-05	0.0093688	2.7208e-05	0.01	0.00010984	0.00017257	0.013501	0.00036728	0.0016113	2.1895e-06	0.0024333	7.187e-05	0.00028408	0.0044994	0.0044994	0.0021032	6.6768e-05	1.7837e-05	0.00075074	6.5987e-06	4.2545e-05	0.058305	8.4259e-05	
0.00078621	0.0088109	4.4182e-05	0.00017614	0.00010852	0.00018214	7.6927e-06	0.00028826	8.2215e-05	9.6444e-05	0.89213	1.1202e-05	0.0018066	1.4586e-05	0.00026654	0.02271	0.0015119	0.00010066	2.0237e-05	1.6426e-05	0.00014592	0.00085591	0.00012436	3.1535e-05	0.00042974	0.00057333	0.0014064	0.00023961	9.307e-05	2.0431e-05	0.9815	0.0056555	0.00012719	8.6237e-05	8.8435e-05	7.1438e-06	0.003774	6.0625e-05	4.2134e-06	0.00093387	8.7731e-06	1.2872e-05	6.7945e-05	0.00012886	0.01	0.028483	0.0009263	0.01	0.00061829	1.3364e-05	0.00038233	0.67854	0.01	0.01	0.00057456	0.044412	0.00060442	0.00018717	0.00036326	0.0076409	0.0089227	2.6363e-06	1.9361e-07	0.00015913	0.012832	0.017779	0.00068351	0.00024178	9.6642e-06	9.0469e-05	0.00025739	2.9878e-05	0.00022832	5.0353e-05	0.00010371	4.0489e-05	2.166e-05	0.0093684	2.6444e-05	0.01	0.00010784	0.00017013	0.013508	0.00036464	0.0015971	2.0159e-06	0.0024301	7.0049e-05	0.00028231	0.0044963	0.0044963	0.0020949	6.6041e-05	1.7047e-05	0.00074699	6.2279e-06	4.0926e-05	0.05596	8.3497e-05	
0.00078488	0.0087854	4.35e-05	0.00017514	0.00010715	0.00017603	6.8648e-06	0.00028617	7.8359e-05	9.7346e-05	0.89276	1.0644e-05	0.0017973	1.361e-05	0.00026491	0.022714	0.0015097	0.00010008	1.7417e-05	1.5736e-05	0.00013994	0.0008554	0.00012006	3.0835e-05	0.0004251	0.00057181	0.0013832	0.00023032	9.0326e-05	2.0027e-05	0.98283	0.0056349	0.00012622	8.4143e-05	8.7238e-05	6.7141e-06	0.0037635	5.8613e-05	3.8381e-06	0.00093091	8.3744e-06	1.2667e-05	6.5509e-05	0.00012267	0.01	0.028491	0.0009238	0.01	0.00061751	1.2769e-05	0.00037297	0.67798	0.01	0.01	0.00057044	0.044438	0.00059756	0.00018166	0.00036187	0.0076355	0.008922	2.3369e-06	1.7633e-07	0.00015541	0.012836	0.017786	0.0006793	0.0002308	9.0132e-06	8.8544e-05	0.00025228	2.8358e-05	0.00022445	4.9647e-05	9.8172e-05	3.9662e-05	2.1016e-05	0.009368	2.5659e-05	0.01	0.00010581	0.00016769	0.013513	0.00036198	0.0015823	1.8383e-06	0.0024268	6.8201e-05	0.00028053	0.0044932	0.0044932	0.0020865	6.5297e-05	1.6242e-05	0.00074324	5.852e-06	3.93e-05	0.053555	8.2717e-05	
0.00078364	0.0087626	4.2838e-05	0.00017426	0.00010582	0.00017022	6.0884e-06	0.00028421	7.4802e-05	9.8319e-05	0.89349	1.0128e-05	0.0017881	1.274e-05	0.0002633	0.022719	0.0015086	9.9557e-05	1.4739e-05	1.5085e-05	0.00013434	0.000855	0.0001161	3.0173e-05	0.00042051	0.0005704	0.001361	0.00022182	8.7742e-05	1.9682e-05	0.98251	0.0056153	0.00012534	8.2114e-05	8.6083e-05	6.3282e-06	0.0037546	5.6651e-05	3.5189e-06	0.00092798	8.0067e-06	1.2477e-05	6.3112e-05	0.00011699	0.01	0.0285	0.00092131	0.01	0.00061689	1.2207e-05	0.00036399	0.67752	0.01	0.01	0.0005666	0.044465	0.00059093	0.00017636	0.00036055	0.0076302	0.0089214	2.0811e-06	1.6206e-07	0.00015182	0.01284	0.017794	0.00067522	0.00022069	8.4875e-06	8.6664e-05	0.00024741	2.694e-05	0.00022061	4.8978e-05	9.3266e-05	3.8856e-05	2.0415e-05	0.0093676	2.4959e-05	0.01	0.00010392	0.00016529	0.013523	0.00035936	0.0015696	1.6773e-06	0.0024237	6.6466e-05	0.00027878	0.0044902	0.0044902	0.0020783	6.1284e-05	1.5499e-05	0.00073953	5.4968e-06	3.7697e-05	0.051359	8.2013e-05	
