Zonotrichia_albicollis	Tyto_alba_alba	Tympanuchus_cupido	Tauraco_erythrolophus	Taeniopygia_guttata	Syrmaticus_mikado	Sturnus_vulgaris	Struthio_camelus_australis	Stachyridopsis_ruficeps	Serinus_canaria	Rhynochetus_jubatus	Rhea_americana	Pygoscelis_adeliae	Pterocles_gutturalis	Pseudopodoces_humilis	Pipra_filicauda	Picoides_pubescens	Phasianus_colchicus	Phalacrocorax_carbo	Phaethon_lepturus	Penelope_pileata	Pelecanus_crispus	Pavo_cristatus	Passer_domesticus	Parus_major	Oxyura_jamaicensis	Oriolus_oriolus	Opisthocomus_hoazin	Odontophorus_gujanensis	Numida_meleagris	Nothoprocta_perdicaria	Nipponia_nippon	Nestor_notabilis	Neopelma_chrysocephalum	Molothrus_ater	Mesitornis_unicolor	Merops_nubicus	Melopsittacus_undulatus	Meleagris_gallopavo	Manacus_vitellinus	Malurus_cyaneus	Lyrurus_tetrix	Lonchura_Striata_domestica	Leptosomus_discolor	Lepidothrix_coronata	Lagopus_muta	Haliaeetus_leucocephalus	Geospiza_fortis	Gavia_stellata	Gallus_gallus	Fulmarus_glacialis	Ficedula_albicollis	Falco_peregrinus	Falco_cherrug	Eurypyga_helias	Erythrura_gouldiae	Empidonax_traillii	Egretta_garzetta	Dromaius_novaehollandiae	Cygnus_atratus	Cyanistes_caeruleus	Cuculus_canorus	Coturnix_japonica	Corythaeola_cristata	Corvus_moneduloides	Corvus_brachyrhynchos	Corapipo_altera	Columba_livia	Colius_striatus	Colinus_virginianus	Chrysolophus_pictus	Chlamydotis_macqueenii	Chiroxiphia_lanceolata	Charadrius_vociferus	Chaetura_pelagica	Centrocercus_minimus	Catharus_ustulatus	Casuarius_casuarius	Cariama_cristata	Camarhynchus_parvulus	Calypte_anna	Callipepla_squamata	Calidris_pugnax	Buteo_japonicus	Buceros_rhinoceros	Balearica_regulorum_gibbericeps	Aythya_fuligula	Athene_cunicularia	Aquila_chrysaetos_chrysaetos	Apteryx_rowi	Apteryx_australis_mantelli	Aptenodytes_forsteri	Apaloderma_vittatum	Antrostomus_carolinensis	Anser_cygnoides	Anseranas_semipalmata	Anas_platyrhynchos	Alectura_lathami	Acanthisitta_chloris	
0.00078142	0.010391	4.8602e-05	0.00019411	0.00011698	0.0002412	1.3049e-05	0.00035436	0.00010707	0.00010539	0.89119	1.5136e-05	0.0018735	2.3801e-05	0.00028045	0.024247	0.0014459	0.00010394	4.1791e-05	2.0945e-05	0.00018666	0.0008485	0.00015348	4.1078e-05	0.00045133	0.0005773	0.0016287	0.00033187	0.00011132	2.3075e-05	0.97167	0.0060935	0.00013394	0.00010059	9.5706e-05	1.0212e-05	0.0042727	7.4393e-05	6.8896e-06	0.0010066	1.1526e-05	3.4785e-05	8.5344e-05	0.00016925	0.01	0.027198	0.00092439	0.01	0.00062463	1.7469e-05	0.0005578	0.71596	0.01	0.01	0.00060271	0.043146	0.00067823	0.00023424	0.00036988	0.011889	0.0089356	4.7386e-06	8.7112e-07	0.00018841	0.012802	0.01714	0.00069951	0.00031958	1.4169e-05	0.00010436	0.000289	4.1224e-05	0.00025852	5.4947e-05	0.00014972	4.607e-05	2.639e-05	0.0093766	3.453e-05	0.01	0.00011785	0.00018669	0.01375	0.00038103	0.0019662	3.3165e-06	0.0025014	8.5437e-05	0.00029632	0.0045413	0.0045413	0.0021875	8.7146e-05	2.2488e-05	0.00084244	8.7926e-06	5.2553e-05	0.072161	8.7809e-05	
0.00078004	0.010362	4.7907e-05	0.00019295	0.00011559	0.00023439	1.2234e-05	0.00035183	0.00010301	0.0001042	0.89174	1.4538e-05	0.001864	2.2625e-05	0.00027879	0.024252	0.0014428	0.00010332	3.8737e-05	2.0229e-05	0.00018035	0.00084789	0.00014893	4.0258e-05	0.0004467	0.00057571	0.0016037	0.00032098	0.00010842	2.2613e-05	0.97265	0.0060716	0.00013292	9.8448e-05	9.4494e-05	9.7382e-06	0.0042599	7.2356e-05	6.4578e-06	0.0010037	1.1102e-05	3.1518e-05	8.2873e-05	0.00016272	0.01	0.027204	0.00092189	0.01	0.00062371	1.6848e-05	0.00054655	0.71499	0.01	0.01	0.00059836	0.043169	0.00067106	0.00022836	0.00036845	0.011885	0.0089349	4.3945e-06	6.4735e-07	0.00018452	0.012806	0.017147	0.00069525	0.00030781	1.3394e-05	0.0001024	0.00028378	3.9579e-05	0.00025458	5.4213e-05	0.00014327	4.5227e-05	2.5627e-05	0.0093762	3.3622e-05	0.01	0.00011573	0.00018423	0.013751	0.00037837	0.0019482	3.1209e-06	0.0024981	8.3433e-05	0.00029451	0.0045382	0.0045382	0.0021789	8.6156e-05	2.1637e-05	0.00083856	8.4024e-06	5.0906e-05	0.069622	8.697e-05	
0.00077874	0.010337	4.7233e-05	0.00019192	0.00011424	0.00022792	1.147e-05	0.00034947	9.9279e-05	0.00010309	0.89239	1.3984e-05	0.0018547	2.1575e-05	0.00027716	0.024258	0.0014407	0.00010276	3.5837e-05	1.9554e-05	0.00017444	0.0008474	0.00014474	3.9483e-05	0.00044212	0.00057422	0.0015798	0.00031103	0.00010569	2.2219e-05	0.97398	0.0060508	0.00013197	9.6375e-05	9.3325e-05	9.3139e-06	0.004249	7.037e-05	6.0915e-06	0.0010007	1.0711e-05	2.8403e-05	8.0445e-05	0.00015673	0.01	0.027212	0.00091941	0.01	0.00062296	1.6262e-05	0.00053578	0.71414	0.01	0.01	0.0005943	0.043194	0.00066414	0.00022272	0.00036709	0.011882	0.0089342	4.1013e-06	4.5817e-07	0.00018077	0.012811	0.017153	0.00069113	0.00029698	1.2769e-05	0.00010048	0.0002788	3.8048e-05	0.00025069	5.3516e-05	0.00013756	4.4407e-05	2.4915e-05	0.0093758	3.2809e-05	0.01	0.00011375	0.00018181	0.013757	0.00037574	0.0019326	2.9441e-06	0.002495	8.1554e-05	0.00029275	0.0045352	0.0045352	0.0021706	8.5262e-05	2.0852e-05	0.00083473	8.0342e-06	4.9283e-05	0.067307	8.6211e-05	
0.00077741	0.01031	4.6552e-05	0.00019085	0.00011288	0.00022136	1.0694e-05	0.00034707	9.5462e-05	0.00010196	0.89301	1.3419e-05	0.0018453	2.0494e-05	0.00027552	0.024263	0.0014383	0.00010218	3.2896e-05	1.8868e-05	0.00016842	0.00084688	0.00014046	3.8695e-05	0.00043752	0.00057271	0.0015555	0.00030084	0.00010293	2.1809e-05	0.97523	0.0060296	0.00013101	9.4284e-05	9.2144e-05	8.8775e-06	0.0042376	6.8369e-05	5.7095e-06	0.00099778	1.0312e-05	2.5247e-05	7.8003e-05	0.00015059	0.01	0.027219	0.00091691	0.01	0.00062216	1.5666e-05	0.00052488	0.71325	0.01	0.01	0.00059017	0.043219	0.00065715	0.00021701	0.0003657	0.011879	0.0089336	3.7959e-06	2.6076e-07	0.00017698	0.012815	0.01716	0.00068697	0.00028592	1.2108e-05	9.8556e-05	0.00027375	3.6487e-05	0.00024678	5.2809e-05	0.00013167	4.358e-05	2.4189e-05	0.0093754	3.1973e-05	0.01	0.00011174	0.00017939	0.013761	0.00037309	0.0019165	2.7625e-06	0.0024917	7.9642e-05	0.00029097	0.0045321	0.0045321	0.0021621	8.4344e-05	2.0051e-05	0.00083088	7.6601e-06	4.7652e-05	0.064927	8.5432e-05	
0.00077607	0.010283	4.5867e-05	0.00018976	0.00011151	0.00021472	9.9045e-06	0.00034463	9.1571e-05	0.00010081	0.89361	1.2844e-05	0.0018358	1.9384e-05	0.00027388	0.024268	0.0014357	0.0001016	2.9917e-05	1.8173e-05	0.00016231	0.00084634	0.00013609	3.7898e-05	0.0004329	0.00057118	0.001531	0.00029043	0.00010012	2.1383e-05	0.9764	0.0060082	0.00013003	9.2176e-05	9.0953e-05	8.4299e-06	0.0042258	6.6355e-05	5.313e-06	0.00099483	9.9047e-06	2.2054e-05	7.5549e-05	0.00014434	0.01	0.027226	0.00091442	0.01	0.00062132	1.5062e-05	0.00051386	0.71233	0.01	0.01	0.00058596	0.043244	0.00065009	0.00021124	0.0003643	0.011876	0.0089329	3.4838e-06	2.4398e-07	0.00017315	0.012819	0.017166	0.00068277	0.00027463	1.1415e-05	9.6615e-05	0.00026864	3.4899e-05	0.00024285	5.2093e-05	0.00012561	4.2748e-05	2.3452e-05	0.009375	3.1114e-05	0.01	0.00010969	0.00017695	0.013765	0.00037044	0.0018998	2.5767e-06	0.0024885	7.7701e-05	0.00028919	0.004529	0.004529	0.0021537	8.3404e-05	1.9234e-05	0.00082701	7.2808e-06	4.6014e-05	0.062485	8.4634e-05	
0.00077471	0.010255	4.5176e-05	0.00018863	0.00011013	0.00020799	9.103e-06	0.00034214	8.7605e-05	9.9637e-05	0.8942	1.2257e-05	0.0018264	1.8245e-05	0.00027222	0.024273	0.0014329	0.000101	2.6901e-05	1.7467e-05	0.0001561	0.00084577	0.00013164	3.7089e-05	0.00042827	0.00056961	0.0015062	0.0002798	9.7288e-05	2.0943e-05	0.97751	0.0059865	0.00012902	9.0051e-05	8.975e-05	7.9709e-06	0.0042136	6.4327e-05	4.9015e-06	0.00099187	9.4898e-06	1.8823e-05	7.3083e-05	0.00013796	0.01	0.027233	0.00091191	0.01	0.00062045	1.445e-05	0.00050272	0.71138	0.01	0.01	0.00058169	0.043268	0.00064297	0.00020541	0.00036289	0.011873	0.0089322	3.1602e-06	2.2582e-07	0.00016928	0.012823	0.017173	0.00067854	0.00026312	1.0688e-05	9.4662e-05	0.00026348	3.3285e-05	0.00023891	5.1368e-05	0.00011938	4.1909e-05	2.2702e-05	0.0093746	3.0234e-05	0.01	0.0001076	0.0001745	0.013768	0.00036778	0.0018825	2.3866e-06	0.0024853	7.5729e-05	0.00028739	0.0045259	0.0045259	0.0021452	8.2442e-05	1.8401e-05	0.00082313	6.8962e-06	4.4368e-05	0.059981	8.3817e-05	
0.00077344	0.01023	4.4506e-05	0.00018764	0.00010879	0.00020162	8.3545e-06	0.00033983	8.3964e-05	9.8552e-05	0.89488	1.172e-05	0.001817	1.7233e-05	0.0002706	0.024279	0.0014312	0.00010045	2.4042e-05	1.6804e-05	0.00015031	0.00084531	0.00012755	3.6326e-05	0.00042369	0.00056816	0.0014826	0.00027013	9.4625e-05	2.0569e-05	0.979	0.0059659	0.0001281	8.7993e-05	8.8592e-05	7.5613e-06	0.0042032	6.2351e-05	4.5548e-06	0.00098893	9.1087e-06	1.575e-05	7.0661e-05	0.00013212	0.01	0.027241	0.00090942	0.01	0.00061975	1.3873e-05	0.00049207	0.71053	0.01	0.01	0.00057772	0.043293	0.00063611	0.00019983	0.00036154	0.01187	0.0089315	2.8862e-06	2.1112e-07	0.00016557	0.012827	0.01718	0.00067444	0.00025257	1.0107e-05	9.2755e-05	0.00025856	3.1786e-05	0.00023502	5.0682e-05	0.0001139	4.1093e-05	2.2004e-05	0.0093743	2.945e-05	0.01	0.00010568	0.00017209	0.013775	0.00036515	0.0018678	2.2152e-06	0.0024821	7.3885e-05	0.00028564	0.0045229	0.0045229	0.0021368	8.1578e-05	1.7636e-05	0.0008193	6.5341e-06	4.2748e-05	0.057706	8.3083e-05	
0.00077214	0.010205	4.383e-05	0.00018661	0.00010744	0.00019515	7.5929e-06	0.00033748	8.0244e-05	9.7447e-05	0.89555	1.1172e-05	0.0018076	1.6191e-05	0.00026897	0.024284	0.0014292	9.9888e-05	2.1144e-05	1.613e-05	0.00014441	0.00084483	0.00012337	3.5552e-05	0.00041909	0.00056668	0.0014587	0.00026022	9.1924e-05	2.018e-05	0.98041	0.005945	0.00012717	8.5918e-05	8.7421e-05	7.14e-06	0.0041925	6.0361e-05	4.1932e-06	0.00098598	8.7194e-06	1.2635e-05	6.8225e-05	0.00012615	0.01	0.027248	0.00090693	0.01	0.00061901	1.3288e-05	0.0004813	0.70966	0.01	0.01	0.00057368	0.043318	0.00062918	0.00019418	0.00036018	0.011867	0.0089309	2.6008e-06	1.9504e-07	0.00016181	0.012831	0.017186	0.00067031	0.00024179	9.4938e-06	9.0835e-05	0.00025358	3.0258e-05	0.0002311	4.9986e-05	0.00010824	4.0272e-05	2.1294e-05	0.0093739	2.8644e-05	0.01	0.00010371	0.00016967	0.013781	0.0003625	0.0018527	2.0394e-06	0.0024789	7.201e-05	0.00028387	0.0045198	0.0045198	0.0021285	8.069e-05	1.6854e-05	0.00081545	6.1663e-06	4.112e-05	0.055367	8.2329e-05	
0.00077082	0.010179	4.3149e-05	0.00018555	0.00010608	0.0001886	6.7726e-06	0.00033509	7.6451e-05	9.8358e-05	0.89619	1.0613e-05	0.0017982	1.5121e-05	0.00026733	0.024289	0.001427	9.9316e-05	1.8209e-05	1.5447e-05	0.00013842	0.00084432	0.00011911	3.4767e-05	0.00041448	0.00056518	0.0014344	0.0002501	8.919e-05	1.9776e-05	0.98173	0.0059239	0.00012621	8.3825e-05	8.6231e-05	6.7079e-06	0.0041813	5.8357e-05	3.818e-06	0.00098302	8.3225e-06	1.2432e-05	6.5777e-05	0.00012006	0.01	0.027255	0.00090443	0.01	0.00061824	1.2694e-05	0.0004704	0.70897	0.01	0.01	0.00056956	0.043343	0.00062218	0.00018848	0.0003588	0.011863	0.0089302	2.3049e-06	1.7765e-07	0.00015802	0.012835	0.017193	0.00066615	0.0002308	8.8499e-06	8.8903e-05	0.00024854	2.8704e-05	0.00022718	4.928e-05	0.00010242	3.9444e-05	2.0656e-05	0.0093735	2.7816e-05	0.01	0.00010171	0.00016724	0.013787	0.00035985	0.0018371	1.8594e-06	0.0024757	7.0105e-05	0.00028209	0.0045167	0.0045167	0.00212	7.978e-05	1.6057e-05	0.00081159	5.7934e-06	3.9484e-05	0.052968	8.1557e-05	
0.00076959	0.010156	4.2487e-05	0.00018461	0.00010476	0.00018238	6.004e-06	0.00033286	7.2956e-05	9.9342e-05	0.89694	1.0097e-05	0.0017889	1.4165e-05	0.00026572	0.024295	0.0014258	9.8793e-05	1.5419e-05	1.4803e-05	0.00013281	0.00084392	0.00011519	3.4024e-05	0.00040991	0.00056377	0.0014113	0.00024085	8.6616e-05	1.9432e-05	0.98141	0.0059037	0.00012533	8.1796e-05	8.5082e-05	6.3203e-06	0.0041719	5.6403e-05	3.499e-06	0.00098009	7.9564e-06	1.2244e-05	6.337e-05	0.00011447	0.01	0.027263	0.00090195	0.01	0.00061762	1.2134e-05	0.00045996	0.70839	0.01	0.01	0.00056574	0.04337	0.00061543	0.000183	0.00035748	0.01186	0.0089295	2.0522e-06	1.6327e-07	0.00015437	0.012839	0.0172	0.00066211	0.00022068	8.3301e-06	8.7016e-05	0.00024373	2.7255e-05	0.00022329	4.8611e-05	9.727e-05	3.8638e-05	2.0061e-05	0.0093731	2.7076e-05	0.01	9.9854e-05	0.00016485	0.013797	0.00035723	0.0018238	1.6965e-06	0.0024725	6.8318e-05	0.00028036	0.0045137	0.0045137	0.0021118	7.4875e-05	1.5321e-05	0.00080777	5.4412e-06	3.7872e-05	0.050778	8.086e-05	
