Sciurus_vulgaris	Octodon_degus	Ochotona_princeps	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	Castor_canadensis	
3.2845e-05	2.2276e-05	0.00018104	2.4968e-05	8.497e-05	0.01	0.034169	3.0265e-07	
3.1995e-05	2.1498e-05	0.00017954	2.463e-05	8.3202e-05	0.01	0.034182	2.2261e-07	
3.1211e-05	2.0836e-05	0.00017836	2.4351e-05	8.1589e-05	0.01	0.034195	2.1252e-07	
3.0411e-05	2.015e-05	0.00017711	2.4059e-05	7.994e-05	0.01	0.034208	1.9448e-07	
2.9578e-05	1.9434e-05	0.00017689	2.3752e-05	7.8251e-05	0.01	0.03422	1.6608e-07	
2.8715e-05	1.8842e-05	0.00017659	2.2745e-05	7.6733e-05	0.01	0.034233	1.2248e-07	
2.785e-05	1.8355e-05	0.00017653	2.1907e-05	7.537e-05	0.01	0.034246	7.8066e-08	
2.6985e-05	1.784e-05	0.0001764	2.1029e-05	7.3964e-05	0.01	0.03426	3.2842e-08	
2.6205e-05	1.5871e-05	0.00017654	1.777e-05	7.2737e-05	0.01	0.034273	2.8382e-08	
2.5382e-05	1.4242e-05	0.00017656	1.5101e-05	7.1655e-05	0.01	0.034287	1.8843e-08	
2.4532e-05	1.409e-05	0.00017648	1.2295e-05	7.0518e-05	0.01	0.034301	2.2724e-09	
2.3649e-05	1.3921e-05	0.0001763	9.3356e-06	6.9336e-05	0.01	0.034314	1.0111e-09	
2.2859e-05	1.318e-05	0.00017643	6.9508e-06	6.8309e-05	0.01	0.034328	2.2948e-09	
2.1985e-05	1.2586e-05	0.00017636	5.065e-06	6.7421e-05	0.01	0.034343	1.7255e-09	
2.1212e-05	1.1876e-05	0.00017661	3.7753e-06	6.6315e-05	0.01	0.034357	5.8113e-09	
2.0393e-05	1.1039e-05	0.00017673	3.4152e-06	6.5008e-05	0.01	0.034371	6.8999e-09	
1.9525e-05	1.0376e-05	0.00017671	2.8655e-06	6.3878e-05	0.01	0.034386	5.3051e-09	
1.8622e-05	9.6656e-06	0.00017658	2.2749e-06	6.2695e-05	0.01	0.034401	5.725e-10	
1.7222e-05	9.103e-06	0.00017587	1.8146e-06	6.1671e-05	0.01	0.034416	1.1654e-10	
1.5972e-05	8.6591e-06	0.00017551	1.4528e-06	6.079e-05	0.01	0.034432	8.3867e-11	
1.4857e-05	8.312e-06	0.00017547	1.1688e-06	6.004e-05	0.01	0.034447	2.2252e-10	
1.3864e-05	7.2006e-06	0.00017576	9.4636e-07	5.9413e-05	0.01	0.034463	1.5853e-09	
1.3015e-05	6.0083e-06	0.00017646	6.9748e-07	5.8746e-05	0.01	0.034479	1.0294e-09	
1.2267e-05	4.4154e-06	0.00017759	5.6827e-07	5.778e-05	0.01	0.034495	3.7753e-09	
1.1481e-05	4.1117e-06	0.00017856	5.4681e-07	5.6569e-05	0.01	0.034511	4.0723e-09	
1.1025e-05	3.7587e-06	0.0001792	5.2002e-07	5.6824e-05	0.01	0.034527	1.8047e-09	
1.0621e-05	3.48e-06	0.00018021	5.014e-07	5.7167e-05	0.01	0.034543	3.517e-09	
1.017e-05	3.2607e-06	0.00018098	4.9018e-07	5.76e-05	0.01	0.03456	3.0758e-09	
9.6997e-06	3.0239e-06	0.00018164	4.76e-07	5.8003e-05	0.01	0.034576	3.9169e-10	
9.2819e-06	2.8379e-06	0.00018267	4.6824e-07	5.8501e-05	0.01	0.034593	1.0078e-10	
8.9157e-06	2.6937e-06	0.00018273	4.6651e-07	5.9102e-05	0.01	0.03461	8.1114e-11	
8.596e-06	2.5843e-06	0.00018189	4.7082e-07	5.9817e-05	0.01	0.034628	2.1794e-10	
8.316e-06	2.5063e-06	0.00018152	4.8158e-07	5.9666e-05	0.01	0.034646	1.5842e-09	
8.1766e-06	2.418e-06	0.00018088	4.8914e-07	5.9485e-05	0.01	0.034664	1.0625e-09	
8.0621e-06	2.3561e-06	0.00018069	5.0357e-07	5.939e-05	0.01	0.034682	3.248e-09	
7.936e-06	2.2843e-06	0.00018038	5.1461e-07	5.9263e-05	0.01	0.0347	3.2146e-09	
7.7929e-06	2.2026e-06	0.000181	5.2251e-07	5.9108e-05	0.01	0.034718	9.4514e-10	
7.6825e-06	2.1458e-06	0.00018086	4.9836e-07	5.9037e-05	0.01	0.034737	1.623e-09	
7.5625e-06	2.0796e-06	0.0001806	4.7049e-07	5.8936e-05	0.01	0.034755	5.4138e-10	
7.4648e-06	2.0357e-06	0.00017934	4.5087e-07	5.8919e-05	0.01	0.034774	1.3179e-09	
7.3578e-06	1.9831e-06	0.00017793	4.2784e-07	5.8872e-05	0.01	0.034792	4.3021e-10	
7.2734e-06	1.7611e-06	0.0001748	4.1221e-07	5.8911e-05	0.01	0.034811	1.1105e-09	
7.18e-06	1.5285e-06	0.00017135	3.9339e-07	5.892e-05	0.01	0.03483	1.8682e-10	
7.1249e-06	1.2774e-06	0.00016935	3.7063e-07	5.89e-05	0.01	0.034849	1.7439e-10	
7.0877e-06	1.0787e-06	0.00016791	3.5485e-07	5.8963e-05	0.01	0.034868	9.6674e-10	
