Zalophus_californianus	Vulpes_vulpes	Ursus_thibetanus	Ursus_maritimus	Ursus_arctos	Ursus_americanus	Phoca_vitulina	Neovison_vison	Mustela_putorius	Monachus_schauinslandi	Mirounga_leonina	Lontra_canadensis	Leptonychotes_weddellii	Eumetopias_jubatus	Enhydra_lutris	Canis_lupus	Callorhinus_ursinus	Ailuropoda_melanoleuca	
1.3722e-05	3.8227e-05	0.00060599	0.00985	0.01	0.0099414	0.00024288	2.5712e-05	0.85717	0.00067825	5.951e-05	1.0534e-05	5.0704e-06	0.00099297	1.4741e-05	2.6181e-05	1.6188e-05	0.00091154	
1.2975e-05	3.6625e-05	0.00059975	0.0098499	0.01	0.0099413	0.00024	2.4785e-05	0.85683	0.00067619	5.6705e-05	9.592e-06	4.6351e-06	0.00095603	1.325e-05	2.4636e-05	1.5006e-05	0.00090787	
1.2351e-05	3.5143e-05	0.00059373	0.0098498	0.01	0.0099413	0.00023722	2.4051e-05	0.85657	0.00067419	5.4267e-05	8.8516e-06	4.3122e-06	0.00092321	1.207e-05	2.3503e-05	1.4093e-05	0.00090424	
1.1699e-05	3.3632e-05	0.00058765	0.0098497	0.01	0.0099412	0.00023442	2.3275e-05	0.85629	0.00067217	5.1744e-05	8.0681e-06	3.9657e-06	0.00088944	1.0823e-05	2.2283e-05	1.3123e-05	0.00090059	
1.1019e-05	3.2091e-05	0.00058151	0.0098496	0.01	0.0099412	0.00023158	2.2454e-05	0.85599	0.00067014	4.9134e-05	7.2379e-06	3.5936e-06	0.00085466	9.5039e-06	2.097e-05	1.2091e-05	0.00089693	
1.0308e-05	3.052e-05	0.00057531	0.0098495	0.01	0.0099412	0.00022872	2.1587e-05	0.85565	0.00066809	4.6433e-05	6.3585e-06	3.1941e-06	0.00081886	8.109e-06	1.9556e-05	1.0993e-05	0.00089326	
9.7112e-06	2.9063e-05	0.00056933	0.0098494	0.01	0.0099411	0.00022597	2.0896e-05	0.85541	0.0006661	4.4076e-05	5.6627e-06	2.8954e-06	0.00078697	6.9976e-06	1.8512e-05	1.014e-05	0.00088962	
9.213e-06	2.7713e-05	0.00056355	0.0098493	0.01	0.0099411	0.00022332	2.0353e-05	0.85526	0.00066415	4.2028e-05	5.1154e-06	2.6742e-06	0.00075866	6.1164e-06	1.7753e-05	9.4826e-06	0.00088601	
8.798e-06	2.6464e-05	0.00055797	0.0098492	0.01	0.009941	0.00022076	1.9932e-05	0.8552	0.00066226	4.0251e-05	4.686e-06	2.5118e-06	0.00073355	5.4187e-06	1.7211e-05	8.9794e-06	0.00088244	
8.3639e-06	2.519e-05	0.00055235	0.0098491	0.01	0.009941	0.00021819	1.9484e-05	0.85512	0.00066035	3.841e-05	4.23e-06	2.3363e-06	0.00070769	4.6796e-06	1.6621e-05	8.4415e-06	0.00087886	
7.9092e-06	2.389e-05	0.00054666	0.009849	0.01	0.009941	0.00021558	1.9005e-05	0.85501	0.00065842	3.6501e-05	3.7454e-06	2.1466e-06	0.00068101	3.8959e-06	1.5979e-05	7.8664e-06	0.00087526	
7.4335e-06	2.2564e-05	0.00054092	0.0098489	0.01	0.0099409	0.00021295	1.8496e-05	0.85487	0.00065648	3.4524e-05	3.2308e-06	1.942e-06	0.00065352	3.0655e-06	1.5282e-05	7.2522e-06	0.00087165	
7.0366e-06	2.1336e-05	0.00053538	0.0098488	0.01	0.0099409	0.00021042	1.8102e-05	0.85482	0.00065459	3.2805e-05	2.8256e-06	1.7911e-06	0.00062912	2.4054e-06	1.4785e-05	6.7805e-06	0.00086808	
6.6208e-06	2.0082e-05	0.00052978	0.0098487	0.01	0.0099409	0.00020786	1.7681e-05	0.85475	0.00065269	3.1024e-05	2.3948e-06	1.6278e-06	0.00060395	1.7055e-06	1.4241e-05	6.2757e-06	0.00086449	
