Urocitellus_parryii	Spermophilus_dauricus	Sciurus_vulgaris	Oryctolagus_cuniculus	Octodon_degus	Ochotona_princeps	Marmota_marmota	Ictidomys_tridecemlineatus	Heterocephalus_glaber	Fukomys_damarensis	Chinchilla_lanigera	Cavia_porcellus	Cavia_aperea	Castor_canadensis	
0.00010424	0.00041672	2.8501e-05	1.8285e-06	3.0262e-05	0.00094036	5.0988e-05	0.00061389	1.4939e-05	0.00010182	0.00016831	0.01	0.036229	4.9165e-07	
0.00010274	0.00040951	2.7775e-05	1.5388e-06	2.932e-05	0.00093762	4.6964e-05	0.0006118	1.4229e-05	9.7616e-05	0.00016563	0.01	0.036243	4.0466e-07	
0.00010129	0.00040237	2.7121e-05	1.3502e-06	2.8504e-05	0.00093604	4.3171e-05	0.00060975	1.3638e-05	9.3753e-05	0.00016316	0.01	0.036257	3.8459e-07	
9.9824e-05	0.0003952	2.645e-05	1.1417e-06	2.7658e-05	0.00093419	3.9319e-05	0.00060768	1.3022e-05	8.9804e-05	0.00016064	0.01	0.036272	3.5542e-07	
9.8342e-05	0.000388	2.5747e-05	1.0354e-06	2.6774e-05	0.00093439	3.5392e-05	0.0006056	1.2374e-05	8.5749e-05	0.00015806	0.01	0.036286	3.125e-07	
9.684e-05	0.00038077	2.5014e-05	9.1027e-07	2.6039e-05	0.00093419	3.1372e-05	0.00060351	1.1632e-05	8.1213e-05	0.00015574	0.01	0.0363	2.4597e-07	
9.5336e-05	0.00037352	2.4378e-05	8.4242e-07	2.5436e-05	0.0009354	2.7347e-05	0.00060141	1.1039e-05	7.7162e-05	0.00015367	0.01	0.036315	1.7887e-07	
9.383e-05	0.00036628	2.3702e-05	7.5806e-07	2.4789e-05	0.00093612	2.3317e-05	0.00059931	1.0397e-05	7.2941e-05	0.00015152	0.01	0.03633	1.112e-07	
9.2297e-05	0.00035898	2.3128e-05	7.1926e-07	2.2805e-05	0.00093854	2.286e-05	0.00059719	9.6542e-06	6.8223e-05	0.00014972	0.01	0.036345	1.0428e-07	
8.6774e-05	0.00033067	2.0631e-05	5.0581e-07	1.636e-05	0.00094564	9.8977e-06	0.00058918	7.3436e-06	5.1574e-05	0.00014347	0.01	0.036407	3.6952e-08	
8.54e-05	0.00032359	1.9969e-05	4.3594e-07	1.6192e-05	0.00094684	9.1078e-06	0.00058718	6.712e-06	4.7215e-05	0.0001418	0.01	0.036422	5.8074e-09	
