Tyto_alba_alba	Tauraco_erythrolophus	Picoides_pubescens	Nestor_notabilis	Merops_nubicus	Melopsittacus_undulatus	Leptosomus_discolor	Cuculus_canorus	Corythaeola_cristata	Colius_striatus	Chaetura_pelagica	Calypte_anna	Buceros_rhinoceros	Athene_cunicularia	Apaloderma_vittatum	Antrostomus_carolinensis	
0.0052547	0.00010476	0.00027768	6.7078e-05	0.0013065	7.7209e-05	0.00016549	4.0553e-06	0.00015242	1.0194e-05	6.0983e-05	4.544e-05	0.00033024	5.6106e-05	5.8454e-05	1.7338e-05	
0.0052249	0.00010389	0.00027439	6.619e-05	0.0012983	7.5098e-05	0.00015863	3.7369e-06	0.00014892	9.4345e-06	5.7874e-05	4.4175e-05	0.00032005	5.4431e-05	5.7704e-05	1.6606e-05	
0.0051977	0.00010312	0.0002718	6.5381e-05	0.0012911	7.304e-05	0.0001524	3.4722e-06	0.00014557	8.8422e-06	5.518e-05	4.3007e-05	0.00031121	5.2879e-05	5.7038e-05	1.594e-05	
0.0051699	0.00010232	0.00026905	6.4552e-05	0.0012837	7.0966e-05	0.00014601	3.1954e-06	0.00014218	8.2133e-06	5.239e-05	4.1816e-05	0.00030206	5.1297e-05	5.6352e-05	1.5258e-05	
0.0051415	0.0001015	0.00026616	6.3706e-05	0.0012761	6.8879e-05	0.00013949	2.912e-06	0.00013875	7.5509e-06	4.9513e-05	4.0603e-05	0.00029263	4.9688e-05	5.5648e-05	1.4562e-05	
0.0051125	0.00010067	0.00026312	6.2844e-05	0.0012682	6.6779e-05	0.00013284	2.6175e-06	0.00013529	6.8535e-06	4.6548e-05	3.9368e-05	0.00028291	4.8051e-05	5.4926e-05	1.3852e-05	
0.0050862	9.9923e-05	0.00026076	6.2058e-05	0.0012614	6.4732e-05	0.00012679	2.3732e-06	0.00013198	6.3116e-06	4.3983e-05	3.8231e-05	0.00027449	4.6537e-05	5.4287e-05	1.3206e-05	
0.0050592	9.9158e-05	0.00025825	6.1254e-05	0.0012544	6.267e-05	0.0001206	2.1177e-06	0.00012863	5.7363e-06	4.1326e-05	3.707e-05	0.00026592	4.4993e-05	5.3628e-05	1.2545e-05	
0.0050317	9.8373e-05	0.0002556	6.0434e-05	0.0012471	6.0595e-05	0.00011428	1.8521e-06	0.00012524	5.1303e-06	3.8588e-05	3.5888e-05	0.00025709	4.3423e-05	5.2952e-05	1.187e-05	
0.0050067	9.7677e-05	0.00025356	5.9685e-05	0.0012409	5.857e-05	0.00010852	1.6307e-06	0.00012199	4.6566e-06	3.6211e-05	3.4797e-05	0.00024943	4.1967e-05	4.9356e-05	1.1255e-05	
0.004984	9.7066e-05	0.00025205	5.9004e-05	0.0012356	5.6595e-05	0.00010327	1.4462e-06	0.00011888	4.296e-06	3.415e-05	3.379e-05	0.0002428	4.0618e-05	4.6107e-05	1.0693e-05	
0.0049609	9.6437e-05	0.00025044	5.8309e-05	0.0012301	5.4607e-05	9.7918e-05	1.2541e-06	0.00011573	3.915e-06	3.2022e-05	3.2764e-05	0.00023595	3.9245e-05	4.2794e-05	1.012e-05	
0.00494	9.5887e-05	0.0002493	5.7677e-05	0.0012255	5.2667e-05	9.3039e-05	1.0939e-06	0.00011271	3.6187e-06	3.0178e-05	3.1818e-05	0.00023005	3.7973e-05	3.98e-05	9.5979e-06	
0.0049187	9.532e-05	0.00024806	5.7031e-05	0.0012207	5.0715e-05	8.8054e-05	9.2712e-07	0.00010966	3.305e-06	2.8273e-05	3.0854e-05	0.00022394	3.6678e-05	3.6747e-05	9.0643e-06	
0.0048996	9.4828e-05	0.00024727	5.6445e-05	0.0012168	4.881e-05	8.3514e-05	7.8792e-07	0.00010674	3.0618e-06	2.6623e-05	2.9965e-05	0.00021869	3.5478e-05	3.3988e-05	8.5777e-06	
0.0048826	9.431e-05	0.0002469	5.5917e-05	0.0012137	4.6952e-05	7.9389e-05	6.7232e-07	0.00010374	2.8758e-06	2.5199e-05	2.9146e-05	0.00021421	3.4369e-05	3.1502e-05	8.135e-06	
0.0048678	9.3866e-05	0.00024694	5.5444e-05	0.0012114	4.514e-05	7.5643e-05	5.7631e-07	0.00010087	2.7358e-06	2.3975e-05	2.8395e-05	0.00021042	3.3344e-05	2.9262e-05	7.7325e-06	
0.0048524	9.3404e-05	0.00024687	5.4957e-05	0.0012089	4.3314e-05	7.1799e-05	4.7535e-07	9.7964e-05	2.5841e-06	2.27e-05	2.7625e-05	0.00020645	3.2298e-05	2.6968e-05	7.3197e-06	
0.0048391	9.0391e-05	0.00024202	5.4522e-05	0.0012072	4.1534e-05	6.831e-05	3.9139e-07	9.5189e-05	2.4715e-06	2.1604e-05	2.6919e-05	0.00020312	3.1331e-05	2.4908e-05	6.9445e-06	
0.0048278	8.7656e-05	0.00023812	5.4136e-05	0.0012063	3.9796e-05	6.5143e-05	3.2152e-07	9.2529e-05	2.3909e-06	2.0666e-05	2.6271e-05	0.00020037	3.0439e-05	2.3052e-05	6.6034e-06	
0.0048184	8.5175e-05	0.00023502	5.3796e-05	0.0012061	3.8102e-05	6.2271e-05	2.6336e-07	8.998e-05	2.3375e-06	1.9865e-05	2.5677e-05	0.00019813	2.9617e-05	2.1379e-05	6.2937e-06	
0.0048109	8.2923e-05	0.00023258	5.3501e-05	0.0011888	3.6448e-05	5.9672e-05	2.1493e-07	8.7537e-05	2.308e-06	1.9187e-05	2.5133e-05	0.00019637	2.8859e-05	1.9871e-05	6.0126e-06	
