Zootoca_vivipara	Trachemys_scripta	Thamnophis_sirtalis	Python_molurus	Pseudonaja_textilis	Podarcis_muralis	Pelodiscus_sinensis	Pantherophis_guttatus	Notechis_scutatus	Lacerta_agilis	Gopherus_agassizii	Gavialis_gangeticus	Crocodylus_porosus	Chrysemys_picta	Chelonoidis_abingdonii	Chelonia_mydas	Anolis_carolinensis	Alligator_sinensis	Alligator_mississippiensis	
0.00022047	0.00026302	9.3782e-05	0.042414	0.032085	0.0031269	2.1857e-05	0.00029431	0.0086849	0.0010987	0.82603	0.0069851	2.6441e-05	0.0020506	0.0024034	0.0002631	1.5931e-05	0.00024576	0.00012317	
0.00021884	0.00025994	8.9872e-05	0.042452	0.032098	0.0031081	2.1179e-05	0.0002918	0.008684	0.0010961	0.82572	0.0069891	2.2399e-05	0.0020451	0.0023882	0.00025987	1.5366e-05	0.00024317	0.00011102	
0.00021717	0.00025685	8.6155e-05	0.042497	0.032112	0.0030889	2.0445e-05	0.00028935	0.0086832	0.0010933	0.82537	0.0069936	1.8672e-05	0.0020395	0.0023727	0.00025657	1.4654e-05	0.00024063	9.9363e-05	
0.00021559	0.00025373	8.2334e-05	0.042538	0.032126	0.0030707	1.9651e-05	0.00028686	0.0086823	0.0010908	0.82498	0.0069977	1.8207e-05	0.0020339	0.0023569	0.00025321	1.3609e-05	0.00023806	8.7484e-05	
0.00021409	0.00025065	7.8703e-05	0.042586	0.03214	0.0030534	1.8979e-05	0.00028442	0.0086815	0.0010887	0.82467	0.0070015	1.7703e-05	0.0020284	0.0023417	0.00024997	1.2902e-05	0.00023534	8.5635e-05	
0.00021255	0.00024755	7.4979e-05	0.042631	0.032153	0.0030356	1.8253e-05	0.00028196	0.0086807	0.0010865	0.82432	0.0070058	1.7252e-05	0.0020228	0.0023262	0.00024668	1.206e-05	0.00023267	8.387e-05	
0.00021097	0.00024448	7.1161e-05	0.042673	0.032167	0.0030174	1.6237e-05	0.00027947	0.0086798	0.001084	0.82405	0.0070106	1.6849e-05	0.0020174	0.0023113	0.00024351	1.1041e-05	0.00023005	8.2185e-05	
0.00020947	0.00024145	6.7171e-05	0.042722	0.032181	0.003	1.4508e-05	0.00027689	0.008679	0.0010819	0.82386	0.0070158	1.6492e-05	0.002012	0.002297	0.00024046	1.0383e-05	0.00022748	8.0575e-05	
0.00020804	0.00023846	6.3363e-05	0.042778	0.032195	0.0029835	1.3013e-05	0.00027436	0.0086782	0.0010802	0.82376	0.0070216	1.6174e-05	0.0020067	0.0022832	0.00023753	9.9262e-06	0.00022495	7.9036e-05	
0.00020657	0.0002355	5.9731e-05	0.04278	0.03221	0.0029665	1.1723e-05	0.00027187	0.0086774	0.0010782	0.82373	0.0070278	1.5896e-05	0.0020016	0.0022701	0.0002347	9.1457e-06	0.00022247	7.7563e-05	
0.00020517	0.00023257	5.6238e-05	0.042785	0.032225	0.0029503	1.0581e-05	0.00026943	0.0086766	0.0010765	0.82377	0.0070344	1.5648e-05	0.0019965	0.0022573	0.00023196	8.5648e-06	0.00022002	7.6145e-05	
0.00020374	0.00022963	5.2691e-05	0.042789	0.03224	0.0029337	9.3905e-06	0.00026697	0.0086758	0.0010748	0.82379	0.0070409	1.5378e-05	0.0019913	0.0022444	0.00022919	7.9246e-06	0.00021756	7.4701e-05	
0.00020237	0.00022671	4.927e-05	0.042797	0.032255	0.0029178	8.3278e-06	0.00026454	0.008675	0.0010732	0.82386	0.0070477	1.5135e-05	0.0019863	0.0022319	0.00022649	7.4385e-06	0.00021513	7.3305e-05	
0.00020105	0.00022381	4.5968e-05	0.042808	0.03227	0.0029025	7.378e-06	0.00026215	0.0086743	0.0010719	0.824	0.0070382	1.4919e-05	0.0019813	0.0022198	0.00022387	7.0686e-06	0.00021273	7.1956e-05	
0.00019978	0.00022094	4.2782e-05	0.042822	0.032285	0.0028878	6.5285e-06	0.0002598	0.0086735	0.0010708	0.82419	0.0070279	1.4659e-05	0.0019764	0.002208	0.00022133	6.7875e-06	0.00021037	7.0652e-05	
0.00019857	0.00021809	3.9705e-05	0.04284	0.032301	0.0028736	5.7678e-06	0.00025748	0.0086727	0.0010699	0.82445	0.007018	1.4424e-05	0.0019715	0.0021967	0.00021885	6.5794e-06	0.00020804	6.9392e-05	
0.00019733	0.00021524	3.6731e-05	0.042848	0.032317	0.0028593	4.9794e-06	0.00025519	0.008672	0.0010689	0.82468	0.007008	1.417e-05	0.0019666	0.0021852	0.00021635	6.352e-06	0.00020569	6.8111e-05	
0.00019614	0.0002124	3.3855e-05	0.04286	0.032333	0.0028455	4.2703e-06	0.00025293	0.0086713	0.0010682	0.82497	0.0069984	1.3939e-05	0.0019618	0.0021741	0.00021392	6.1799e-06	0.00020337	6.6871e-05	
0.000195	0.00020959	3.1073e-05	0.042875	0.03235	0.0028322	3.6356e-06	0.0002507	0.0086705	0.0010676	0.82532	0.0069887	1.3688e-05	0.0019571	0.0021633	0.00021156	6.0525e-06	0.00020104	6.5609e-05	
0.00019384	0.00020676	2.8254e-05	0.042889	0.032366	0.0028187	2.9778e-06	0.00024846	0.0086698	0.001067	0.82565	0.0069789	1.3418e-05	0.0019523	0.0021524	0.00020917	5.9116e-06	0.00019874	6.4389e-05	
0.00019273	0.00020396	2.5528e-05	0.042907	0.032383	0.0028057	2.3873e-06	0.00024626	0.0086691	0.0010666	0.82603	0.0069694	1.3172e-05	0.0019476	0.0021418	0.00020685	5.2158e-06	0.00019647	6.3209e-05	
0.0001916	0.00020115	2.553e-05	0.042923	0.032399	0.0028348	2.3453e-06	0.00024403	0.0086683	0.0010661	0.8264	0.0069599	1.2907e-05	0.0019429	0.0021311	0.0002045	4.465e-06	0.00019418	6.2008e-05	
